key	relevance
Technology&Computing>ArtificialIntelligence	1.0
Science>Physics	0.45575425028800964
NewsAndPolitics>Weather	0.1494869440793991
Science>Environment	0.12031778693199158
Technology&Computing>Computing>Internet>InternetOfThings	0.11982306838035583
Science>BiologicalSciences	0.07713551819324493
Education>EducationalAssessment	0.06135283783078194
Technology&Computing	0.048874251544475555
BusinessAndFinance>Industries>EnvironmentalServicesIndustry	0.04808376356959343
EventsAndAttractions>PoliticalEvent	0.0377664752304554
Technology&Computing>Computing>Internet>SocialNetworking	0.03634230047464371
VideoGaming>VideoGameGenres>SimulationVideoGames	0.030393753200769424
Technology&Computing>Computing	0.03033440001308918
Technology&Computing>Robotics	0.02591742016375065
NewsAndPolitics>Politics>PoliticalIssues	0.022190885618329048
Science	0.02084529958665371
BusinessAndFinance>Industries>PowerAndEnergyIndustry	0.02029256708920002
Education>EducationalAssessment>StandardizedTesting	0.01981879211962223
Education>HomeworkAndStudy	0.01392731536179781
Education>OnlineEducation	0.010040243156254292
