text	entity_type		start	end
social sciences	occupation		12372	13386
AVO	organization		21258	22030
Pablo Fernandez Macchia	person_name		35996	38082
Pablo	person_name		39356	40150
cave of Platon	location		81708	83830
actors	occupation		180652	181698
scientists	occupation		182700	183586
Pablo	person_name		237522	237894
Pablo	person_name		238448	238854
dyslexic	medical_condition		263350	264350
product manager	occupation		326790	328094
science	occupation		364680	365326
Institute philosophy	organization		366488	368318
Daniel	person_name		386332	386706
Industrial revolution	event		406548	407690
vaccination	medical_process		443328	444022
product manager	occupation		487792	488662
millionaire	money_amount		575804	576710
Ethereum	money_amount		590672	591542
artists	occupation		592992	593478
Daniel Friedman	person_name		594304	596342
artists	occupation		601972	602586
artists	occupation		606436	607150
Creative Commons	organization		655732	656746
Creative Commons	organization		666136	667134
musicians	occupation		673432	674094
Daniel	person_name		885244	885714
Dyslexic	medical_condition		910084	910714
Elise	person_name		1008790	1009600
Markov	person_name		1024426	1025120
Dali	person_name		1030846	1031380
professor	occupation		1050320	1051080
music professor	occupation		1051160	1053292
Daniel	person_name		1270122	1270592
researchers	occupation		1354740	1355660
Daniel	person_name		1744450	1745048
Pablo	person_name		1761622	1762332
Mahault	person_name		1793330	1793992
