docLabel	start	end	count	rank	text
3Symp_2_09	2114620	2115748	1	0.06	active inference models
3Symp_2_09	161568	162294	1	0.05	active inference
3Symp_2_09	206670	207926	2	0.05	active inference
3Symp_2_09	361448	362334	3	0.05	active inference
3Symp_2_09	368568	369602	4	0.05	active inference
3Symp_2_09	464856	465918	5	0.05	active inference
3Symp_2_09	473932	474770	6	0.05	active inference
3Symp_2_09	545828	546874	7	0.05	active inference
3Symp_2_09	672380	673602	8	0.05	active inference
3Symp_2_09	787238	788320	9	0.05	active inference
3Symp_2_09	1078162	1079096	10	0.05	active inference
3Symp_2_09	1124882	1126040	11	0.05	active inference
3Symp_2_09	1410112	1411232	12	0.05	active inference
3Symp_2_09	1485282	1485988	13	0.05	active inference
3Symp_2_09	1791942	1792892	14	0.05	active inference
3Symp_2_09	1805160	1806016	15	0.05	active inference
3Symp_2_09	1890582	1891680	16	0.05	active inference
3Symp_2_09	2109114	2109904	17	0.05	active inference
3Symp_2_09	2114620	2115396	18	0.05	active inference
3Symp_2_09	2229520	2230728	19	0.05	active inference
3Symp_2_09	2968430	2969156	20	0.05	active inference
3Symp_2_09	3315338	3315904	21	0.05	active inference
3Symp_2_09	3329172	3329956	22	0.05	active inference
3Symp_2_09	3331342	3332036	23	0.05	active inference
3Symp_2_09	3371402	3372016	24	0.05	active inference
3Symp_2_09	3971002	3971664	25	0.05	active inference
3Symp_2_09	3985166	3986260	26	0.05	active inference
3Symp_2_09	4003078	4004316	27	0.05	active inference
3Symp_2_09	4024362	4024944	28	0.05	active inference
3Symp_2_09	4038940	4039924	29	0.05	active inference
3Symp_2_09	4653162	4653866	30	0.05	active inference
3Symp_2_09	4671992	4673022	31	0.05	active inference
3Symp_2_09	4680978	4682002	32	0.05	active inference
3Symp_2_09	4686892	4688050	33	0.05	active inference
3Symp_2_09	4852468	4853386	34	0.05	active inference
3Symp_2_09	5085230	5086366	35	0.05	active inference
3Symp_2_09	5125208	5126290	36	0.05	active inference
3Symp_2_09	5155828	5156650	37	0.05	active inference
3Symp_2_09	5317776	5318624	38	0.05	active inference
3Symp_2_09	5439758	5440324	39	0.05	active inference
3Symp_2_09	826322	826860	1	0.05	other people
3Symp_2_09	1204778	1205412	2	0.05	other people
3Symp_2_09	1675522	1676060	3	0.05	other people
3Symp_2_09	1940998	1941344	4	0.05	other people
3Symp_2_09	4034014	4034584	5	0.05	other people
3Symp_2_09	4072122	4072436	1	0.05	other things
3Symp_2_09	4564358	4565280	2	0.05	other things
3Symp_2_09	4024362	4025300	1	0.05	active inference agents
3Symp_2_09	4939164	4939674	1	0.05	different things
3Symp_2_09	1269902	1271656	1	0.05	many other negative things
3Symp_2_09	671210	673602	1	0.05	single agent active inference
3Symp_2_09	3292722	3293784	1	0.05	active insurance models
3Symp_2_09	2462686	2464932	1	0.05	different space time scales
3Symp_2_09	1368302	1368824	1	0.05	different way
3Symp_2_09	4090722	4091852	1	0.04	signal processing people
3Symp_2_09	4098480	4100190	2	0.04	signal processing people
3Symp_2_09	2387014	2387788	1	0.04	different scales
3Symp_2_09	4626958	4627556	2	0.04	different scales
3Symp_2_09	1127704	1128620	1	0.04	conscious things
3Symp_2_09	1129752	1130508	2	0.04	conscious things
3Symp_2_09	1129346	1130508	1	0.04	non conscious things
