text	entity_type		start	end
Active Inference Institute	organization		27722	29280
active Inference Institute	organization		30826	32016
co authors	occupation		63914	64544
Pablo	person_name		84590	85508
Pablo	person_name		137742	138116
co authorship	occupation		166950	167854
co authors	occupation		170222	171250
Saturday, August 19	date		195136	197126
authors	occupation		199184	199590
author	occupation		204610	205162
institute	organization		208244	208890
Institute, comma active Inference institute	organization		209796	213498
Andrea Guire	person_name		214692	215482
John Boyk	person_name		215546	216266
Lieber Burian	person_name		216298	217158
matthew Brown	person_name		217194	217902
RJ Corday	person_name		217966	218782
scott David david S. Douglas	person_name		218846	220846
Pablo Fernandez Macchia	person_name		220958	222782
Daniel Friedman	person_name		222926	223902
holly Grimm	person_name		223966	224702
Avele Gwynen	person_name		224766	225598
carlo Maria	person_name		225614	226734
Louisa Ayenico	person_name		226782	228174
virginia Blue Knight	person_name		228302	229530
alexandra Mikhailova	person_name		229630	230818
Ali Ramju Adil Razi	person_name		230834	232626
jacob Smith	person_name		232658	233778
rene Tamari	person_name		233954	235154
dean Tickles	person_name		235202	235954
Alex Viakin	person_name		236188	237298
founders	occupation		240620	241122
officers	occupation		241452	242034
board of directors	organization		242268	243222
volunteers	occupation		246992	247606
facilitators	occupation		247808	248502
interns	occupation		248832	249526
uncanny valley	location		392668	393554
Friston	person_name		406688	407126
language modeling	occupation		453750	455254
external content developers	occupation		470152	471806
Chris Fields	person_name		475592	476606
physics	occupation		476718	477166
Avel	person_name		481224	481870
Kairos Research	organization		483128	484278
social sciences	occupation		485564	486162
Sanjeev Namjoshi	person_name		493152	494614
core developers	occupation		563284	564442
Bert de Fryes	person_name		573224	574174
Dmitry Bagueev	person_name		574472	575726
Jacob Smekal	person_name		594288	595126
J	person_name		703392	703782
internship	occupation		716708	717478
scientific advisory board	organization		727064	728530
board of directors	organization		729960	731182
officers	occupation		732332	733250
Dean	person_name		746000	746534
Pablo	person_name		755328	755734
acting board member	occupation		779450	781110
Active Inference Institute	organization		816484	817434
Pablo	person_name		867242	868110
Pablo	person_name		875588	876270
Dean	person_name		947312	947606
physics	occupation		964852	965274
Active Inference Institute	organization		1037084	1038274
active inference	organization		1049024	1049766
Dean	person_name		1114530	1114954
Pablo	person_name		1115252	1115546
Dean	person_name		1121506	1122140
authors	occupation		1131618	1132380
graphic designer	occupation		1182662	1183516
Daniel	person_name		1221410	1221864
artist	occupation		1228260	1228812
Educe	organization		1332262	1333212
Reinforce	organization		1334646	1335464
officers	occupation		1360882	1361656
operators	occupation		1362962	1363736
board of directors	organization		1364674	1365720
scientific advisory board	organization		1368418	1370124
scientific advisory board	organization		1379718	1380960
scientific advisory board	organization		1387552	1389364
ontology	occupation		1424716	1425484
ontology	occupation		1498660	1499348
Dean	person_name		1515442	1515928
internships	occupation		1576470	1577212
Pablo	person_name		1593658	1594064
Dean	person_name		1594298	1594544
cognitive science and	occupation		1682842	1684404
cognitive science	occupation		1685018	1685924
physics	occupation		1686158	1686852
information science	occupation		1694446	1695604
sociotechnical design	occupation		1710162	1711890
math	occupation		1749794	1750104
Dean	person_name		1854712	1855400
Smithsonian Institute	organization		1878790	1880480
Active Inference Institute	organization		1890078	1891412
Smithsonian Institute	organization		1925434	1926784
Active Inference Institute	organization		1931098	1932576
Smithsonian Institution	organization		1933578	1934832
Daniel	person_name		1963060	1963564
Chris Fields	person_name		2019622	2020316
Pablo	person_name		2026598	2026924
machine learning	occupation		2088394	2089240
philosophy of science	occupation		2143820	2145400
statistics	occupation		2147726	2148264
metascience	occupation		2148626	2149432
quantitative studies	occupation		2150322	2151432
Daniel	person_name		2194062	2194840
neuroscience	occupation		2207298	2208344
psychology	occupation		2208978	2209608
liaisons	occupation		2315862	2316780
Karl Friston	person_name		2341758	2342996
Dean	person_name		2361206	2361660
Pablo	person_name		2362342	2363260
Raph	person_name		2365094	2366012
Pablo	person_name		2389340	2390360
Dean	person_name		2421638	2422320
Pablo	person_name		2423382	2423660
