text	entity_type		start	end
Raph	person_name		16846	17252
co author	occupation		19020	19716
Ralph Kaufman	person_name		58842	60080
Avel Gwynen Carlo	person_name		69342	70580
Raph	person_name		78222	78776
Daniel	person_name		113978	114304
metacrisis	event		188834	189852
thinker	occupation		195558	196124
Daniel Schmuckenberger	person_name		196422	197452
moloch	person_name		231496	232328
Schmuckenberger	person_name		236450	237368
authoritarian	political_affiliation		247852	248652
Guy Consortium	organization		270862	271684
cybernetics	occupation		345718	346236
founders	occupation		397532	398348
Digital Gaia	organization		451392	452192
agroecology	occupation		454490	455648
Fangor	organization		651254	651608
science	occupation		786290	786744
ics	occupation		787042	787592
regenerative agriculture	occupation		853142	854204
agroforestry	occupation		854390	855424
Colombia	location		1129234	1130088
project developers	occupation		1133378	1134184
funders	occupation		1134722	1135400
Edward Fulbrook	person_name		1194230	1195164
Connor	person_name		1239762	1240104
Casper Hesp	person_name		1303994	1305328
Cognizance	organization		1363178	1363676
COVID pandemic	event		1365038	1366228
climate change crisis	event		1429874	1431032
COVID	medical_condition		1463498	1463824
Digital Guy	organization		1491078	1491632
Gaiaconsortium.org	url		1516106	1517716
Barath	person_name		1529180	1529904
Gaia Consortium	organization		1535378	1536700
Marco Lynn	person_name		1552680	1554100
geopolitics	occupation		1571438	1572132
Marco	person_name		1579538	1579912
Gaia	organization		1645462	1645852
Gaia Consortium	organization		1650054	1650972
Gaia	organization		1652742	1653208
Daniel	person_name		1675332	1675636
Mahi	person_name		1772718	1773720
Steve	person_name		1775102	1775364
Daniel	person_name		1854502	1854940
