text	entity_type		start	end
Connor	person_name		20406	21200
Connor	person_name		89182	89652
Daniel	person_name		93918	94404
organizers	occupation		98626	99208
Third Applied Active Influence Symposium	event		99538	101740
Connor Hines	person_name		106418	107144
PhD student	occupation		107602	108332
Max Planck Institute of Animal Behavior	organization		108802	110940
researcher	occupation		111958	112604
Versus AI research lab	organization		113222	115872
R D lab	organization		115926	117090
junior researcher	occupation		123834	124784
scientific	occupation		206982	207452
statistical physics	occupation		344930	345944
physics	occupation		368490	368816
Rafael Kaufman	person_name		514660	516620
Pranav Gupta	person_name		516700	517596
Jacob Taylor	person_name		517734	518540
Rafael Kaufman	person_name		519174	520364
engineering	occupation		594402	594856
natural sciences	occupation		595074	596248
Karl Frison	person_name		601458	602136
applied active inference symposium	event		609670	611404
artificial intelligence	occupation		642062	643508
deep learning	occupation		644158	644972
artificial intelligence	occupation		665718	666860
engineering	occupation		667984	668496
natural sciences	occupation		679082	680000
biology	occupation		683998	684420
engineering	occupation		736142	736644
engineer	occupation		748338	748696
thermodynamic systems game theory	occupation		795522	798136
biology	occupation		811958	812332
first	person_name		1017606	1017872
Fritz	person_name		1018246	1018556
engineering	occupation		1041902	1042436
physics	occupation		1075658	1076208
physics	occupation		1080298	1080704
physics	occupation		1086142	1086708
physics	occupation		1104258	1105000
physics	occupation		1127210	1127536
physics	occupation		1171834	1172224
Bayesian mechanics	occupation		1209014	1209884
physics	occupation		1212556	1213116
author	occupation		1301026	1301336
Renormalization group	organization		1383726	1384952
statistical physics	occupation		1452738	1453816
Stochastic resonance theory	occupation		1525418	1526880
active inference practitioners	occupation		1529242	1530544
Kaufman	person_name		1606800	1607464
aswin	person_name		1696690	1697528
Marco Lynn	person_name		1731150	1732084
Marco	person_name		1752658	1753176
Connor	person_name		1776246	1776828
Daniel	person_name		1780054	1780404
