text	entity_type		start	end
Avel	person_name		19340	20070
Avel Gwenen carlo	person_name		21180	22578
embedded normativity	organization		23100	24466
Avel	person_name		25196	25682
Avelina Carlo	person_name		60344	61630
France	location		67144	67338
cognitive archaeology	occupation		98772	99690
France	location		146288	146890
Brunborg	person_name		254116	254746
Kierstein	person_name		254778	255706
Reidfield	person_name		256132	256990
math	occupation		292698	293390
Ramshed	person_name		342912	343414
chemotaxis	medical_process		450404	451194
theory	occupation		468782	469410
sumerian	nationality		603960	604670
hand burn	injury		683728	684650
English	language		780118	780534
lene Steiner	person_name		887040	888166
blind	medical_condition		895810	896266
semantics	occupation		987184	987782
information theory	occupation		988512	989770
forensics	occupation		1028192	1029206
information theory	occupation		1076316	1077106
France	location		1135728	1136022
Avel	person_name		1248708	1249498
Social Sciences	occupation		1256504	1257310
Active Inference Institute	organization		1278858	1279696
kerose Research	organization		1281146	1282148
social science	occupation		1285902	1286564
complexity science	occupation		1307382	1308364
physics	occupation		1308902	1309292
cognitive science	occupation		1310662	1311516
social science	occupation		1311718	1312412
social science	occupation		1317782	1318444
Daniel	person_name		1327594	1328160
Ben White	person_name		1342302	1342860
Lorena	person_name		1346066	1346648
Mao	person_name		1346882	1347720
design	occupation		1435642	1436036
design	occupation		1443552	1443860
cognitive archaeology	occupation		1605150	1606052
ecological psychology	occupation		1634346	1635520
Twitter	organization		1638938	1639424
addiction	medical_condition		1667106	1667816
semiotics	occupation		1735578	1736096
social sciences	occupation		1782182	1783228
AVO	organization		1791132	1791420
