key	relevance
Technology&Computing>ArtificialIntelligence	1.0
MedicalHealth>DiseasesAndConditions>EyeAndVisionConditions	0.568745493888855
NewsAndPolitics>Weather	0.5548316836357117
Education>EducationalAssessment	0.5004554390907288
Science>Physics	0.3245021104812622
Education>EducationalAssessment>StandardizedTesting	0.30791857838630676
Science	0.3070105016231537
Hobbies&Interests>ParanormalPhenomena	0.26044487953186035
Technology&Computing>Computing>DataStorageAndWarehousing	0.20366239547729492
Technology&Computing>AugmentedReality	0.1973360925912857
Technology&Computing>Computing>ComputerSoftwareAndApplications>VideoSoftware	0.15965960919857025
VideoGaming>VideoGameGenres>SimulationVideoGames	0.14734800159931183
Science>SpaceAndAstronomy	0.11228157579898834
Hobbies&Interests>ContentProduction>VideoProduction	0.11114130914211273
Religion&Spirituality>Astrology	0.09427127987146378
Technology&Computing>ConsumerElectronics>CamerasAndCamcorders	0.08974535018205643
Technology&Computing>VirtualReality	0.07972415536642075
Technology&Computing>Computing>ComputerSoftwareAndApplications>Databases	0.07567520439624786
Technology&Computing>Computing>ComputerNetworking	0.0551009401679039
Hobbies&Interests>RadioControl	0.04809262603521347
