docLabel	start	end	count	rank	text
3Symp_1_05	1360852	1362350	1	0.09	state action state
3Symp_1_05	4417200	4418788	1	0.08	general active inference agents
3Symp_1_05	743008	4273012	6	0.07	agent step
3Symp_1_05	97152	98534	1	0.07	active inference models
3Symp_1_05	2736060	2744960	1	0.07	agent policies
3Symp_1_05	1821022	1853146	2	0.07	Pymdp agent
3Symp_1_05	4245202	4246636	1	0.07	deep policy agent
3Symp_1_05	624408	626434	1	0.07	observation action combinations
3Symp_1_05	19636	4734484	34	0.07	sophisticated inference
3Symp_1_05	1730520	3949176	2	0.07	other actions
3Symp_1_05	3662818	4584564	3	0.06	state spaces
3Symp_1_05	230028	2233246	8	0.06	hidden states
3Symp_1_05	552480	553382	1	0.06	first action
3Symp_1_05	1709332	3921504	9	0.06	action precision
3Symp_1_05	4592482	4595112	1	0.06	sophisticated inference algorithms
