key	relevance
Technology&Computing>ArtificialIntelligence	1.0
MedicalHealth>DiseasesAndConditions>SleepDisorders	0.5526276230812073
Science>Physics	0.23217929899692535
Religion&Spirituality>Spirituality	0.0882045328617096
Technology&Computing>Robotics	0.05244119465351105
Science>Chemistry	0.04401041939854622
Technology&Computing>Computing>ProgrammingLanguages	0.04205159842967987
Hobbies&Interests>ParanormalPhenomena	0.03805883228778839
Science	0.036010392010211945
Science>SpaceAndAstronomy	0.03512364625930786
Travel>TravelType>Spas	0.02410885877907276
Religion&Spirituality>Agnosticism	0.023112881928682327
BooksAndLiterature>Poetry	0.02109500579535961
MedicalHealth>DiseasesAndConditions>BrainAndNervousSystemDisorders	0.02103557623922825
Technology&Computing	0.01718187890946865
Religion&Spirituality	0.016644196584820747
BusinessAndFinance>Industries>MetalsIndustry	0.015352630987763405
Technology&Computing>Computing>Internet>SocialNetworking	0.012637818232178688
Technology&Computing>Computing	0.00815784651786089
MedicalHealth>DiseasesAndConditions>EyeAndVisionConditions	0.00791010819375515
