docLabel	start	end	count	rank	text
3Symp_1_01	1428972	1430976	1	0.06	fast frequency gamma activity
3Symp_1_01	734912	1369488	7	0.06	gamma power
3Symp_1_01	1030668	1031276	1	0.06	more gamma
3Symp_1_01	2101396	2184072	2	0.06	predictive alpha beta
3Symp_1_01	829692	830900	1	0.06	gamma power difference
3Symp_1_01	1337642	1339012	1	0.06	gamma relative power
3Symp_1_01	580838	1586144	4	0.06	high gamma
3Symp_1_01	2067302	2069420	1	0.06	Predictable alpha beta signal
3Symp_1_01	251838	1949396	5	0.06	higher order areas
3Symp_1_01	467090	2045684	2	0.06	more activity
3Symp_1_01	555156	1156684	4	0.06	more power
3Symp_1_01	94526	1674124	4	0.06	different layers
3Symp_1_01	926562	927544	1	0.06	prediction signal
3Symp_1_01	437226	1910140	2	0.06	higher order cortex
3Symp_1_01	1862242	1864104	1	0.06	slow frequency activity
