docLabel	start	end	count	rank	text
gs045-1A	4530220	4532962	1	0.06	different information processes
gs045-1A	5852672	5853568	1	0.05	specific models
gs045-1A	4025530	4027202	1	0.05	information processing notion
gs045-1A	4025530	4470622	4	0.05	information processing
gs045-1A	5794960	5796992	1	0.05	specific generative models
gs045-1A	4465750	4468126	1	0.05	mental information processing
gs045-1A	4679068	4704442	2	0.05	other processes
gs045-1A	4468392	4470622	1	0.05	unconscious information processing
gs045-1A	4835970	4837314	1	0.05	specific processes
gs045-1A	4931228	5076466	4	0.05	brain regions
gs045-1A	4166292	4167406	1	0.05	inner screen structure
gs045-1A	3921016	3938940	2	0.05	other questions
gs045-1A	5028172	5029090	1	0.05	other levels
gs045-1A	5991446	5992930	1	0.05	consciousness level
gs045-1A	3302964	3305130	1	0.05	information geometry
