start	end	speaker	confidence	text
8730	47050	A	0.9306125510204086	All right. Hello and welcome everyone. It is Saturday, August 26, 2023 and we're here in Physics as information processing in the fourth discussion. Thank you everybody. Who's joining live or watching? Live or watching in replay. This should be a really fun discussion as usual. So we're going to have Ander provide some slides and some initial clarifying questions for Chris and then we're going to open it up for our guests to ask some questions and check in a live chat, see what people are talking about. So Ander, to you for some slides and overview.
48030	295020	B	0.9389669392033549	Okay. Thank you, Daniel. So last time we were starting to talk about multi agent communication and lock protocols and all of that. So let's quickly go through the slides and sort of try to recall the main concepts. I guess just to go back to session three for a second. One takeaway was that when you have non committing sectors in a boundary, that's necessarily going to require classical communication between them. So that is more or less the whole point of today, how noncommittan sectors may communicate, have to communicate classically. Another introduction in this last lecture was this new graphical notation, TQFT, if you wish to call it that way for any of these clock ticks. Okay, so let's recall the whole process of measuring a sector environment and writing it into a memory environment can be simplified to this sort of tick that connects two portions of the boundary and everything we talk about lock protocols will be written in this graphical notation. So let's keep going a little bit. This slide is on the paper on sequential measurements from 2022. These are basically the formal mapping between QRFs and topological quantum field theories. Okay. So we're more used to the picture here on the left hand side of this slide, right with the QRF sectors. But Pictorically speaking, this is at least how they map. Okay? And then from then we started talking about entanglement and classical communications using this notation. And this is probably where my questions to Chris will start. So in section Three, we saw this idea of the FEP asymptotically being the principle of unitarity, aka. Driving the system, the joint system, Alice and Bob to entanglement, which in this graphical notation, amounts to them sort of completing a cycle here where the QRFs are perfectly aligned, so that the S sector of one becomes the memory sector of the other. And vice I actually at this point already, I have a question for Chris. I have it written down. Yes. Two things here, Chris. Number one is in the log protocol picture we do have a distinguishing between a quantum channel and a classical channel. And if I understood that part correctly, we said that passage of time or expenditure of energy, free energy only corresponds to the classical tick. So in this quantum entanglement picture where you don't quite have that, is it fair to say that there's no such thing as a classical take no passage of time, no expenditure of free energy. Is this a degenerate picture of the locked protocol where the sectors were aligned the right way and boom, you got rid of that classical thing and that's it. And secondly, I guess, what does it mean for these two parts, quote unquote from the paper, to implement a joint quantum process?
299860	435710	C	0.9306497109826588	So, yeah, this is not a lock protocol, clearly, because there is no classical communication. And in fact, Alice is not divided into multiple compartments. Here Alice is just implementing this single quantum process, Q. And because these sectors are because these QRFs are perfectly aligned, we can think of, remember from probably the second session the picture that you were very interested in under of the Wick rotation reversing time between Alice and Bob. So Alice's clock in fact ticks in the opposite direction from Bob's clock because both of their internal clocks are counting incoming bits, not outgoing. In this, in the right side of this picture, there is no overall time. You can think of Alice's clock ticking forward one unit and then Bob's clock ticking backward one unit. So that the information flow is completely time symmetric between Alice and Bob. So we can think of both of these processes, q and Q prime, as bi directional in time. That's what it means to have a pure unitary process.
438320	440760	B	0.9506100000000001	So no time asymmetry. That's what it is.
440850	450300	C	0.9768708	Right. So there is no time asymmetry in this picture. And when you introduce classical communication, of course you have to have a time asymmetry.
450460	450880	B	0.99625	Right.
450950	457700	C	0.8616992857142857	Because you have this I mean, classicality is defined by this notion of irreversibility.
458440	459060	B	0.70446	I see.
459130	496970	C	0.9527235937499999	Which is just the same as time asymmetry. And it's the irreversibility that burns energy. So there has to be energy flow between Alice and Bob to drive what is from a global point of view and only an apparent asymmetry, but from the point of view of Alice One and Alice Two as components of Alice, they're the ones who see the asymmetry.
501390	525700	B	0.9246057407407406	So I guess just to tie back to the question of the week rotation, once this joint process is implemented naively, one can say is this cycle going clockwise or counterclockwise? And is that going to define on originally whenever these guys ended up being lined up where the weak sign was coming from?
531770	544810	C	0.920717142857143	Yes. Whenever Alice sees information flowing in, Bob sees information flowing out. So their WIC rotations are going in opposite directions.
546110	551020	B	0.7216725	Okay. Yeah, very good.
552830	611870	C	0.9235041052631575	The other thing to think of in this picture, Rich, it's impossible to draw all of these simultaneously, is that if you think of the FEP as fully aligning Alice and Bob, then not only do these processes perfectly couple, but the area that's green in this right hand side kind of expands to fill the whole boundary. So that in the complete limit of Alice being able to perfectly predict Bob and vice versa, then the whole boundary is green. So there's no this distinction between the S sector and the Y sector disappears.
