docLabel	start	end	count	rank	text
cFPIP-05L	464876	3826084	6	0.08	scale free theories
cFPIP-05L	109890	304986	3	0.07	quantum information theory
cFPIP-05L	1932848	3038322	3	0.06	quantum field theory
cFPIP-05L	465346	3826084	6	0.06	free theories
cFPIP-05L	1040752	3833476	6	0.06	different scales
cFPIP-05L	732350	733630	1	0.06	Macro scale things
cFPIP-05L	470912	1026722	5	0.06	Scale free theory
cFPIP-05L	1086864	3841820	5	0.06	embedding theories
cFPIP-05L	2106512	2108010	1	0.06	field theory notation
cFPIP-05L	458810	490842	2	0.06	reductionist theories
cFPIP-05L	363292	4068680	6	0.06	quantum theory
cFPIP-05L	3035288	3036906	1	0.06	conformal field theory
cFPIP-05L	1353460	1354634	1	0.05	scale transitions
cFPIP-05L	3821640	3845740	2	0.05	reductive theories
cFPIP-05L	1546290	1547550	1	0.05	meta theories
