start	end	speaker	wconfidence	text
8730	8846	A	0.95969	All
8868	9390	A	0.99063	right.
9540	9854	A	0.99993	Hello
9892	10046	A	0.89	and
10068	10398	A	0.99998	welcome
10484	11070	A	0.99998	everyone.
11220	11534	A	0.52175	It
11572	11822	A	0.99939	is
11876	12362	A	0.9634	Saturday,
12426	12922	A	0.46	August
12986	13694	A	0.83	26,
13812	14286	A	1.0	2023
14308	15774	A	0.81	and
15812	16026	A	0.99992	we're
16058	16302	A	0.99992	here
16356	16814	A	0.54077	in
16932	17354	A	0.99998	Physics
17402	17614	A	0.99869	as
17652	18046	A	0.99656	information
18148	18762	A	0.84918	processing
18826	19054	A	0.99991	in
19092	19246	A	1.0	the
19268	19642	A	1.0	fourth
19706	20570	A	0.99994	discussion.
20730	21006	A	0.99998	Thank
21028	21166	A	0.99998	you
21188	21470	A	0.99982	everybody.
21540	21834	A	0.72261	Who's
21882	22266	A	0.99993	joining
22298	22590	A	1.0	live
22660	23086	A	0.99986	or
23188	23550	A	0.78536	watching?
23620	23854	A	1.0	Live
23892	24094	A	0.8129	or
24132	24382	A	0.99995	watching
24436	24606	A	0.9701	in
24628	25266	A	0.95201	replay.
25418	25686	A	0.98317	This
25708	25846	A	0.99991	should
25868	26006	A	1.0	be
26028	26118	A	1.0	a
26124	26486	A	0.99996	really
26588	26902	A	0.99997	fun
26956	27442	A	0.98978	discussion
27506	27782	A	0.90798	as
27836	28530	A	0.99989	usual.
28690	28966	A	0.99138	So
28988	29138	A	0.99853	we're
29154	29238	A	0.96382	going
29244	29318	A	1.0	to
29324	29590	A	0.99982	have
29660	30306	A	0.35557	Ander
30418	30790	A	0.99996	provide
30860	31094	A	0.99999	some
31132	31890	A	0.99984	slides
32050	32422	A	1.0	and
32476	32694	A	0.99998	some
32732	33202	A	0.99993	initial
33266	33906	A	0.99992	clarifying
33938	34326	A	0.82745	questions
34428	34646	A	0.99998	for
34668	35234	A	0.97381	Chris
35362	35654	A	1.0	and
35692	35846	A	0.99994	then
35868	36018	A	0.99914	we're
36034	36166	A	0.98512	going
36188	36470	A	1.0	to
36540	36822	A	0.99999	open
36876	36998	A	0.99988	it
37004	37222	A	0.70054	up
37276	37734	A	0.99998	for
37852	38134	A	0.99988	our
38172	38654	A	0.78064	guests
38722	39002	A	1.0	to
39056	39274	A	0.99992	ask
39312	39466	A	0.97306	some
39488	39914	A	0.99996	questions
40032	40458	A	1.0	and
40544	40746	A	0.99891	check
40768	40906	A	0.69816	in
40928	41018	A	0.59	a
