key	relevance
Science>Physics	1.0
Science	0.2189764380455017
Technology&Computing>ArtificialIntelligence	0.15952737629413605
Technology&Computing>Computing	0.1487828940153122
Technology&Computing	0.10640177130699158
Education>OnlineEducation	0.08971583098173141
Science>SpaceAndAstronomy	0.07054731249809265
BusinessAndFinance>Industries>InformationServicesIndustry	0.07038683444261551
BusinessAndFinance>Business>BusinessI.T.	0.06871850043535233
Technology&Computing>AugmentedReality	0.06087718904018402
Technology&Computing>Computing>DataStorageAndWarehousing	0.05208193510770798
Technology&Computing>Computing>ComputerSoftwareAndApplications>3-DGraphics	0.044934969395399094
BusinessAndFinance>Industries>TechnologyIndustry	0.04454782232642174
Technology&Computing>Computing>ComputerSoftwareAndApplications>AntivirusSoftware	0.034317415207624435
Technology&Computing>Computing>Internet>ITAndInternetSupport	0.03217849135398865
Technology&Computing>VirtualReality	0.032133154571056366
Technology&Computing>Computing>ComputerSoftwareAndApplications>OperatingSystems	0.031744301319122314
Science>Chemistry	0.027456259354948997
NewsAndPolitics>Weather	0.027249449864029884
Technology&Computing>Computing>Internet>InternetOfThings	0.024982761591672897
