key	relevance
Science>Physics	1.0
NewsAndPolitics>Weather	0.7925286889076233
BusinessAndFinance>Economy>InterestRates	0.5351369380950928
Home&Garden>IndoorEnvironmentalQuality	0.5106366872787476
Technology&Computing>Computing>ComputerSoftwareAndApplications>3-DGraphics	0.44122394919395447
Technology&Computing>Computing>ProgrammingLanguages	0.4193478226661682
Technology&Computing>Computing>DataStorageAndWarehousing	0.38828495144844055
Technology&Computing>Computing>ComputerSoftwareAndApplications>Databases	0.3197636604309082
Hobbies&Interests>ContentProduction>FreelanceWriting	0.31823766231536865
Science>SpaceAndAstronomy	0.26768606901168823
BusinessAndFinance>Industries>PowerAndEnergyIndustry	0.19962264597415924
Technology&Computing>Computing>ComputerSoftwareAndApplications>GraphicsSoftware	0.19912584125995636
Technology&Computing>ArtificialIntelligence	0.16356822848320007
NewsAndPolitics>Politics	0.13277389109134674
EventsAndAttractions>PoliticalEvent	0.12425942718982697
PersonalFinance>PersonalInvesting>Options	0.10326758027076721
Hobbies&Interests>ParanormalPhenomena	0.10007134824991226
Travel>TravelLocations>PolarTravel	0.05838118493556976
MedicalHealth>DiseasesAndConditions>BrainAndNervousSystemDisorders	0.05402950197458267
NewsAndPolitics>Politics>PoliticalIssues	0.04900394380092621
