"Start Time","End Time","Transcript"
"00;00;25;07","00;00;25;10","All"
"00;00;25;29","00;00;26;09","right."
"00;00;26;09","00;00;26;21","Hello"
"00;00;26;21","00;00;26;25","and"
"00;00;26;25","00;00;27;05","welcome,"
"00;00;27;05","00;00;28;04","everyone"
"00;00;28;05","00;00;28;26","is"
"00;00;28;26","00;00;29;08","active"
"00;00;29;08","00;00;29;17","flab,"
"00;00;29;17","00;00;29;23","live"
"00;00;29;23","00;00;30;01","streaming"
"00;00;30;01","00;00;30;08","number"
"00;00;30;08","00;00;31;15","36.0"
"00;00;31;15","00;00;31;24","and"
"00;00;31;24","00;00;31;29","it's"
"00;00;31;29","00;00;33;04","January 13th."
"00;00;33;04","00;00;35;09","2022."
"00;00;35;11","00;00;35;21","Welcome"
"00;00;35;21","00;00;36;17","to the"
"00;00;36;17","00;00;36;26","Active"
"00;00;36;26","00;00;37;10","Love."
"00;00;37;17","00;00;38;26","We are a participatory"
"00;00;38;26","00;00;39;08","online"
"00;00;39;08","00;00;39;20","lab"
"00;00;39;20","00;00;40;01","that is"
"00;00;40;01","00;00;40;23","communicating,"
"00;00;40;23","00;00;41;07","learning"
"00;00;41;07","00;00;41;10","and"
"00;00;41;10","00;00;41;29","practicing"
"00;00;41;29","00;00;42;12","applied"
"00;00;42;12","00;00;42;21","active"
"00;00;42;21","00;00;43;12","inference"
"00;00;43;12","00;00;43;16","you"
"00;00;43;16","00;00;43;20","can"
"00;00;43;20","00;00;44;02","find us"
"00;00;44;02","00;00;44;09","at the"
"00;00;44;09","00;00;44;17","links"
"00;00;44;17","00;00;44;21","here"
"00;00;44;21","00;00;44;28","on this"
"00;00;44;28","00;00;45;16","slide."
"00;00;46;08","00;00;46;23","This is a"
"00;00;46;23","00;00;47;13","recorded"
"00;00;47;13","00;00;47;22","and"
"00;00;47;22","00;00;48;08","archived"
"00;00;48;08","00;00;48;26","livestream,"
"00;00;48;26","00;00;49;03","so"
"00;00;49;03","00;00;49;11","please"
"00;00;49;11","00;00;49;19","provide"
"00;00;49;19","00;00;49;23","us"
"00;00;49;23","00;00;50;10","with feedback"
"00;00;50;10","00;00;50;15","so"
"00;00;50;15","00;00;50;18","that"
"00;00;50;18","00;00;50;27","we can"
"00;00;50;27","00;00;51;12","improve"
"00;00;51;12","00;00;52;02","on our work."
"00;00;52;02","00;00;52;12","And"
"00;00;52;12","00;00;52;21","also"
"00;00;52;21","00;00;52;25","if"
"00;00;52;25","00;00;52;28","you're"
"00;00;52;28","00;00;53;08","watching"
"00;00;53;08","00;00;53;16","a long"
"00;00;53;16","00;00;53;29","life,"
"00;00;53;29","00;00;54;25","please"
"00;00;54;25","00;00;55;02","write"
"00;00;55;02","00;00;55;08","any"
"00;00;55;08","00;00;55;18","comments"
"00;00;55;18","00;00;55;20","or"
"00;00;55;20","00;00;56;02","questions"
"00;00;56;02","00;00;56;13","you have"
"00;00;56;13","00;00;56;23","in"
"00;00;56;23","00;00;56;25","the"
"00;00;56;25","00;00;57;01","live"
"00;00;57;01","00;00;57;13","chat."
"00;00;58;10","00;00;58;15","All"
"00;00;58;15","00;00;59;04","backgrounds"
"00;00;59;04","00;00;59;12","and"
"00;00;59;12","00;01;00;03","perspectives"
"00;01;00;03","00;01;00;10","are"
"00;01;00;10","00;01;00;20","welcome"
"00;01;00;20","00;01;01;05","here"
"00;01;01;05","00;01;01;18","and"
"00;01;01;18","00;01;01;26","we'll be"
"00;01;01;26","00;01;02;09","following."
"00;01;02;09","00;01;02;29","Good video"
"00;01;02;29","00;01;03;20","etiquette"
"00;01;03;20","00;01;04;04","for"
"00;01;04;04","00;01;04;11","live"
"00;01;04;11","00;01;04;23","streams"
"00;01;04;23","00;01;05;01","and"
"00;01;05;01","00;01;05;10","thanks"
"00;01;05;10","00;01;05;19","blue"
