text	entity_type		start	end
physics	occupation		11350	11900
October 28, 2023	date		14940	16656
Dean	person_name		69616	70080
Harrison	person_name		71050	71616
David	person_name		71648	72420
Daniel	person_name		80462	80980
Haris	person_name		139184	140090
Chris	person_name		154196	154870
active Inference Institute	organization		182608	184102
David	person_name		191600	192134
agents	occupation		213368	213842
Dean	person_name		326556	326834
David	person_name		329436	329746
David Bohm	person_name		440522	441248
Markov	person_name		467682	468216
Andrew	person_name		500700	501300
Chris	person_name		501742	501976
Chris	person_name		513234	513672
Ander David	person_name		514402	516204
Chris	person_name		543422	543636
Markov	person_name		565878	566348
Chris	person_name		591358	591636
Chris	person_name		606742	607004
David	person_name		641198	641476
Chris	person_name		679216	679880
Chris	person_name		684730	685590
mathematics	occupation		850784	851366
Chris	person_name		954576	955270
David	person_name		958560	958986
Newton	person_name		1086558	1087470
Einstein	person_name		1088936	1089742
Einstein	person_name		1100770	1101714
Newton	person_name		1153190	1153934
Einstein	person_name		1167150	1168250
Einstein	person_name		1193208	1193854
physics	occupation		1198312	1199010
Daniel	person_name		1211470	1212022
Chris	person_name		1221072	1221654
physics	occupation		1267664	1267926
Chris	person_name		1312992	1313254
thermodynamics	occupation		1526244	1527310
HArris	person_name		1633410	1634350
Chris	person_name		1665068	1665522
statistical mechanics	occupation		1676208	1678214
statistics	occupation		1678512	1679074
physics	occupation		1750270	1750830
Haris	person_name		1755148	1755634
Chris	person_name		1792252	1792950
Alice	person_name		1902000	1902536
Bob	person_name		1903378	1903576
Bohr	person_name		2044180	2044908
Einstein	person_name		2062260	2062996
Warren Einstein	person_name		2077122	2078380
Puzzley	person_name		2100682	2101088
Bohr	person_name		2181298	2181496
Boer	person_name		2184738	2184888
Einstein	person_name		2184994	2185336
Bohr	person_name		2202938	2203136
Einstein	person_name		2203168	2203744
Chris	person_name		2244886	2245324
Daniel	person_name		2269820	2270404
David	person_name		2274734	2275524
Bohr	person_name		2287314	2287576
Einstein	person_name		2287608	2288280
Chris	person_name		2292486	2293132
general relativity	occupation		2300966	2301936
quantum theory	occupation		2302138	2303008
David	person_name		2313002	2313888
Gene Wigner	person_name		2351000	2352352
Wigner	person_name		2354298	2354864
Scientist	occupation		2364286	2364852
editor	occupation		2366158	2366596
Good	person_name		2367700	2368330
good	person_name		2368860	2370170
Wigner	person_name		2375326	2375760
Wigner	person_name		2385920	2386616
quantum theory	occupation		2392118	2393200
Wigner	person_name		2397990	2398636
Wigner	person_name		2405242	2405648
Wigner	person_name		2410360	2411248
Vignner	person_name		2424670	2425168
Wigner	person_name		2439570	2440346
Wigner	person_name		2446228	2446794
experimenter	occupation		2448292	2448986
Wigner	person_name		2455080	2456046
Wigner	person_name		2477308	2477710
Daniel	person_name		2588460	2589044
Chris	person_name		2598962	2599896
physicist	occupation		2649154	2649624
physics	occupation		2792222	2792692
burnt	injury		2878932	2879630
artists	occupation		2931636	2931994
physics	occupation		2994232	2994622
Carl	person_name		3007178	3007584
physics	occupation		3012814	3013252
Chris	person_name		3122298	3122544
quantum biology	occupation		3124346	3125120
quantum biology	occupation		3137422	3138520
quantum biology	occupation		3153822	3154532
Chris	person_name		3164142	3164436
Quantum biology	occupation		3174320	3175388
Chris	person_name		3334738	3335080
quantum biology	occupation		3368382	3369560
Chris	person_name		3379158	3379740
Carl	person_name		3399952	3400294
Chris	person_name		3448332	3448950
Chris	person_name		3495776	3496230
Chris	person_name		3553108	3553790
Chris	person_name		3555892	3556510
Lucrative leadership	organization		3613730	3615230
Ian	person_name		3620974	3621470
Joanne	person_name		3623848	3624318
Pablo	person_name		3633202	3633554
