key	relevance
Technology&Computing>Computing>ComputerSoftwareAndApplications>WebConferencing	1.0
Hobbies&Interests>ContentProduction	0.8133653998374939
Technology&Computing>ArtificialIntelligence	0.6578806042671204
Education>OnlineEducation	0.6552809476852417
Science>Physics	0.520661473274231
Science	0.4291786253452301
Technology&Computing>Computing>ProgrammingLanguages	0.370800256729126
Science>Environment	0.3172968626022339
Technology&Computing>Computing>Internet>SocialNetworking	0.31472519040107727
Education>AdultEducation	0.2768699824810028
Education>EducationalAssessment	0.24382948875427246
Technology&Computing	0.21784576773643494
Science>BiologicalSciences	0.21525906026363373
BusinessAndFinance>Business>ExecutiveLeadership&Management	0.20751552283763885
Technology&Computing>Robotics	0.2070707380771637
Education	0.2000129520893097
BusinessAndFinance>Industries>EducationIndustry	0.18697242438793182
Education>LanguageLearning	0.18180681765079498
NewsAndPolitics>Politics>PoliticalIssues	0.156967893242836
Careers>RemoteWorking	0.13757692277431488
