text	entity_type		start	end
July 28, 2022	date		18778	20126
Brock	person_name		277932	278550
math	occupation		584672	585530
Jessica	person_name		677710	678374
Jessica	person_name		723616	724710
Jessica	person_name		778288	779210
Noah	person_name		830230	830926
Mike	person_name		831192	831742
biochemistry	occupation		876632	877374
biochemistry	occupation		879048	879774
Jessica	person_name		890780	891670
Jessica	person_name		934846	935694
math	occupation		957584	957974
Blue	person_name		1132672	1132934
teacher	occupation		1220524	1220834
Brock	person_name		1239136	1239506
Jessica	person_name		1248596	1249066
Yakubs	person_name		1339168	1339730
Jessica	person_name		1653360	1654008
Jessica	person_name		1755560	1756224
student	occupation		1763320	1763780
Ali	person_name		1787426	1787816
student	occupation		1801226	1801684
math	occupation		1816042	1816588
math	occupation		1866398	1866676
math	occupation		1886994	1887660
math	occupation		2156504	2157198
Mike	person_name		2458690	2459466
Noah	person_name		2490930	2491950
blue and eye	organization		2527868	2528870
math	occupation		2594848	2595222
Daniel	person_name		2598370	2598954
Daniel	person_name		2613198	2613678
Jakub	person_name		2734468	2734954
phontology	occupation		2743102	2743970
knowledge engineering	occupation		2746472	2747730
Jacob	person_name		2760236	2760678
Brock	person_name		2773350	2773854
chemistry	occupation		2962398	2962884
Bohr	person_name		2963182	2963636
physics	occupation		2981788	2982480
Newton	person_name		2983878	2984684
physics	occupation		3043302	3043752
neuroscience	occupation		3044186	3045232
JF	person_name		3132198	3132960
Jessica	person_name		3139814	3140444
