text	entity_type		start	end
Sanjeev Namjoshi	person_name		3332	5150
Sanjeev Namjoshi	person_name		36418	37768
Machine learning engineer	occupation		38818	39880
AI	organization		40578	40876
Sanjeev Namjoshi	person_name		59698	61176
machine learning engineer	occupation		61954	63192
AI	occupation		63778	64104
Kung Fu AI	organization		64968	66120
active inference symposium	event		83258	84464
active inference institute	organization		108178	109820
deep learning	occupation		143194	143828
Hinton	person_name		156638	157076
deep learning	occupation		199118	199832
deep learning	occupation		210722	211260
contributors	occupation		220902	221484
Active Inference Institute	organization		221878	223484
International workshop on Active Inference	event		240986	243024
active inference symposium	event		245646	246964
active inference institute	organization		248302	249924
active inference lab	organization		250718	252090
deep reinforcement learning	occupation		273558	274752
generative modeling	occupation		274998	276320
machine learning researchers	occupation		285514	286576
students	occupation		286778	287252
machine learning	occupation		309438	309932
robotics	occupation		311618	312296
neuroscience	occupation		317074	317704
students	occupation		325308	325600
researchers	occupation		327686	328332
neuroscience	occupation		328854	329612
machine learning	occupation		334282	334900
neuroscience	occupation		335418	336016
fMRI image analysis	medical_process		336218	337940
deep learning	occupation		355838	356360
researchers	occupation		377782	378652
robotics	occupation		382512	383248
video game design	occupation		383344	384164
AI	occupation		384378	385060
researchers	occupation		391962	392608
philosophy	occupation		405150	405812
psychology	occupation		405876	406468
sociology	occupation		406564	407220
neuroscience	occupation		416962	417576
psychology	occupation		417608	418072
LaTech	organization		427654	428236
Bayesian mechanics	occupation		481558	482472
robotics	occupation		512242	512936
behavioral modeling	occupation		513458	514424
neuropsychiatry	occupation		514786	515960
Active Inference Institute	organization		543338	544920
students	occupation		569282	569628
Neuroscience	occupation		572124	572924
undergraduate students	occupation		580982	581920
science	occupation		582262	582476
engineering	occupation		582694	583552
graduate students	occupation		584602	585252
math	occupation		593578	593856
math	occupation		598222	598676
math	occupation		602814	603124
Active inference institute	organization		641278	643000
Rau	person_name		774112	774416
Ballard	person_name		774618	774992
algebra	occupation		814982	815660
Active Inference Institute	organization		993998	995588
Active Inference Institute	organization		1002498	1004088
Bayesian mechanics	occupation		1071302	1072640
Active Inference Institute	organization		1110758	1112140
researchers	occupation		1118118	1118652
students	occupation		1119142	1119392
active inference	occupation		1119638	1120748
Active Inference Institute	organization		1139902	1141284
Kung Fu AI	organization		1148308	1149300
inference institute	organization		1159148	1160524
Sanjeev	person_name		1177002	1177440
