text	entity_type		start	end
November 9, 2022	date		40116	42480
active inference institute	organization		44388	45978
activemfronts.org	url		69980	71334
Kuya	person_name		123648	124038
Daniel	person_name		128118	128630
researcher	occupation		129088	129574
California	location		129808	130694
takirisomera	person_name		184358	185382
lieutenant brain science institute	organization		185712	187786
japan	location		187898	188750
Beijing	location		305112	305582
Beijing	location		310424	310942
Beijing	location		767836	768274
Beijing	location		1152128	1152662
canonical neuroscience	occupation		1565480	1567872
neuroscience	occupation		1606390	1607680
Andy Clark	person_name		1626780	1627764
prostitute	occupation		1663178	1663728
Canada	location		2613300	2614170
prostitute	occupation		3009172	3010120
economics	occupation		3139882	3140800
Daniel	person_name		3149054	3149716
DeForest	person_name		3345670	3346204
Richard	person_name		3576558	3577056
Beijing	location		3917286	3918160
psychophysics	occupation		3936506	3937620
Dave	person_name		4084122	4084560
Dave	person_name		4190900	4191372
hosts	occupation		4193638	4194124
learning	occupation		4194972	4195280
Karl Friston	person_name		4198582	4199372
Friston	person_name		4201878	4202236
Karl Friston	person_name		4205020	4205992
Asia	location		4565680	4566228
Beijing	organization		4761804	4762640
riyadh	location		4956956	4957762
Beijing	location		5271456	5272118
director	occupation		5314048	5314438
Beijing	location		5397784	5398194
PhD student	occupation		5497452	5498502
COVID	medical_condition		5507472	5507990
Rican Institute	organization		5508912	5510470
principal investigator	occupation		5513664	5515510
Salary unit	organization		5516128	5517318
Alexandra	person_name		5960570	5961822
neuroscience	occupation		6064688	6065770
neuroscientist	occupation		6209308	6210130
Jonas	person_name		6216528	6217014
Cording	person_name		6217440	6218330
measurements from every neuron	medical_process		6244792	6247090
lesions	injury		6249320	6249762
deletion	injury		6277444	6278074
ant researcher	occupation		6797928	6799650
