text	entity_type		start	end
ActInf lab	organization		32504	33314
isomerate	person_name		43032	43790
October 26 2,022	date		44942	47620
active inference institute	organization		49688	51070
active coherence Jorge	organization		74452	76490
active Coherence Institute	organization		78666	80622
Takuya IsomerA	person_name		93112	94414
Hideaki Shimazaki	person_name		94542	96510
Karl Friston	person_name		96872	98042
authors	occupation		143452	143842
Daniel	person_name		146674	147218
researcher	occupation		147788	148274
California	location		148444	149218
Egyptian	nationality		202450	202898
neuroscience	occupation		202914	203506
authors	occupation		216704	217122
Zador	person_name		222052	222522
neuro AI	occupation		227604	228522
authors	occupation		231188	231658
neuroscience	occupation		237912	238606
neuro AI	occupation		248428	249474
statistics	occupation		271962	272618
neural AI	occupation		273140	274190
May	person_name		336072	336366
authors	occupation		454604	455318
Communications biology	occupation		457248	458570
applied mathematics	occupation		663424	664198
machine learning	occupation		664368	665226
Friston Kilner Harrison	person_name		793288	795726
Friston	person_name		797112	797898
Friston	person_name		851564	851986
Dutch	nationality		980910	981414
Dutch	nationality		1035968	1036326
Anthony G. Chen	person_name		1106728	1108354
Ali	person_name		1172492	1173058
Ali	person_name		1180092	1180594
emology	occupation		1183058	1184098
Bayesian Epistemology	occupation		1193412	1194970
Bayesianism	political_affiliation		1211608	1212350
Dutch	nationality		1216728	1216974
Isomerra	person_name		1241392	1242086
Friston	person_name		1242288	1243110
Friston	person_name		1300772	1301550
anatomies physiologies	occupation		1528332	1529634
L	person_name		1845872	1846314
author	occupation		2018288	2018694
Dean	person_name		2507772	2508546
authors	occupation		2895454	2896120
author	occupation		3023838	3024500
experimenter	occupation		3352502	3353404
Alexandra Mikhailova	person_name		3640466	3642056
Sajid	person_name		3694022	3694572
Ball	person_name		3694636	3695004
Par	person_name		3695052	3695408
Friston	person_name		3695782	3696668
Doya	person_name		3798342	3799212
Bay	person_name		4019738	4019980
computational neuroscience	occupation		4172882	4174520
machine learning	occupation		4175042	4176030
recurrent neural network theory	occupation		4183798	4185676
electrophysiological recordings	medical_process		4261666	4263384
functional imaging of brain activity	medical_process		4263938	4266300
author	occupation		4349950	4350680
author	occupation		4354078	4354580
author	occupation		4780852	4781338
AI	occupation		4804890	4805426
ethics	occupation		4805458	4806130
