key	relevance
Technology&Computing>ArtificialIntelligence	1.0
MedicalHealth>DiseasesAndConditions>BrainAndNervousSystemDisorders	0.24532142281532288
Technology&Computing>Computing>ComputerSoftwareAndApplications>Databases	0.06130922585725784
Technology&Computing>Robotics	0.06024112552404404
Technology&Computing>Computing>DataStorageAndWarehousing	0.05832944065332413
Technology&Computing>Computing>ProgrammingLanguages	0.05430569127202034
Science>BiologicalSciences	0.05150184780359268
BusinessAndFinance>Industries>BiotechAndBiomedicalIndustry	0.041369203478097916
Technology&Computing>Computing	0.03685486689209938
Science>Physics	0.035048361867666245
MedicalHealth>DiseasesAndConditions>SleepDisorders	0.03440367802977562
PersonalFinance>PersonalInvesting	0.033298559486866
MedicalHealth>DiseasesAndConditions>EndocrineAndMetabolicDiseases>HormonalDisorders	0.03063681721687317
HealthyLiving>WeightLoss	0.029381072148680687
BusinessAndFinance>Industries>MechanicalAndIndustrialEngineeringIndustry	0.02835172973573208
Home&Garden>SmartHome	0.025737017393112183
Technology&Computing>Computing>ComputerNetworking	0.025119870901107788
BusinessAndFinance>Industries>PowerAndEnergyIndustry	0.023760491982102394
NewsAndPolitics>Weather	0.020966626703739166
PersonalFinance>RetirementPlanning	0.01921228878200054
