text	entity_type		start	end
activem	organization		42830	43364
active inference institute	organization		54318	55892
activemfirms.org	url		78006	79312
dakuya	person_name		102860	103568
Daniel	person_name		119628	120092
researcher	occupation		120518	121052
California	location		121382	122380
math	occupation		133856	134304
physics	occupation		134538	135248
Philosophy	occupation		137600	138480
Tokuya	person_name		175164	175618
Takai Somar	person_name		180738	181874
neuroscientist	occupation		182002	182962
Lieken Brain Science Institute	organization		183292	185254
Japan	location		185488	186250
Beijing	location		767262	767646
virus	medical_condition		1058962	1059336
Dutch	nationality		1213878	1214112
Adobe	organization		1275152	1275526
Hae Park	person_name		1438650	1439558
Beijing	location		1481670	1482610
beijing	location		1494210	1495106
Beijing	location		1525642	1525946
descriptive statistics	occupation		1618536	1620050
descriptive statistics	occupation		1633468	1634642
ML	occupation		1890464	1890934
Don	person_name		1890982	1891434
Mldon	person_name		1974382	1974916
engineering	occupation		2451590	2452650
reverse engineering	occupation		2455550	2457130
reverse engineering	occupation		2459396	2461130
forward engineering	occupation		2462084	2463550
engineering	occupation		2467668	2468590
divas engineering	occupation		2475572	2476830
engineering	occupation		2570788	2571326
Virginia	location		2734936	2735758
Beijing	location		2743450	2744066
Virginia	location		2748326	2748806
Virginia	location		2759840	2760406
Memphis	location		2961500	2962368
neuropathy	medical_condition		2978258	2979420
Beijing	location		3049560	3050014
biology	occupation		3180114	3180914
neuroscience	occupation		3197088	3197862
Beijing	location		3423418	3423834
Beijing	location		3516744	3517352
Beijing	location		3531686	3532044
Beijing	location		3567598	3567956
Beijing	location		3577778	3578296
Beijing	location		3593078	3593840
neuroscience	occupation		3850074	3850656
fMRI measurement	medical_process		3961102	3962180
EEG measurements	medical_process		3962638	3963524
engineering	occupation		4021156	4021812
neuroimaging	medical_process		4072798	4073800
EEG	medical_process		4091814	4092796
anxiety	medical_condition		4122866	4123528
empirical neuroimaging	medical_process		4190020	4192540
artificial neural network experiments	medical_process		4196740	4199936
diagnostics	medical_process		4200138	4201300
lesion studies	medical_process		4203146	4204208
fMRI experiments	medical_process		4272400	4274024
researchers	occupation		4322320	4323448
researcher	occupation		4340034	4340812
brain activity recording	medical_process		4457720	4459616
IEG	medical_process		4459946	4460620
imaging	medical_process		4461470	4462468
Dave	person_name		4485702	4486092
Dave	person_name		4488006	4488460
director	occupation		4563358	4564020
Beijing	location		4766702	4767380
Beijing	location		4769740	4770404
agent	occupation		4770452	4771050
Beijing	location		4782722	4783480
Beijing	location		4848100	4848728
Syria	location		5013280	5014148
Beijing	location		5139934	5140596
Friston	person_name		5225862	5226316
Par	person_name		5226348	5226592
DeVries	person_name		5226774	5227520
Serbia	location		5548428	5549430
Dopamine	drug		5940858	5941616
Dyskinesias	medical_condition		5947340	5948788
Dopamine	drug		5950958	5951620
Dopamine	drug		5978134	5978616
physiology	occupation		5978668	5980080
Dop	drug		5992462	5993320
computational neuroscience	occupation		6016422	6019440
Yagoshita	person_name		6121548	6122606
Dopaminezic	drug		6143972	6145310
Dopamine	drug		6179228	6180062
Dopamine	drug		6220140	6221110
Dopamine	drug		6227390	6228470
animal neurophysiology	occupation		6323070	6325130
Beijing	location		6422750	6423382
Karl Friston	person_name		6651874	6652744
doctor professor	occupation		6706582	6709324
Karl Friston	person_name		6709372	6710640
Calgary	location		6713894	6714380
Newtonian physics	occupation		6986734	6989144
Ronen	person_name		7035604	7036190
