"Start Time","End Time","Transcript"
"00;00;08;18","00;00;09;10","Greetings."
"00;00;09;17","00;00;09;25","Hello,"
"00;00;09;25","00;00;10;09","everyone."
"00;00;10;09","00;00;10;25","Thank you"
"00;00;10;25","00;00;11;08","for"
"00;00;11;08","00;00;11;20","joining"
"00;00;11;20","00;00;12;00","live"
"00;00;12;00","00;00;12;15","or in"
"00;00;12;15","00;00;13;11","replay"
"00;00;13;16","00;00;14;00","today."
"00;00;14;00","00;00;14;17","It is"
"00;00;14;17","00;00;15;27","May 27th"
"00;00;15;27","00;00;16;02","is"
"00;00;16;02","00;00;16;05","that"
"00;00;16;05","00;00;16;28","true?"
"00;00;16;28","00;00;17;18","Not."
"00;00;17;18","00;00;18;23","Not even close."
"00;00;18;23","00;00;19;01","Not"
"00;00;19;01","00;00;19;08","even"
"00;00;19;08","00;00;19;29","close."
"00;00;20;04","00;00;20;12","It's"
"00;00;20;12","00;00;20;19","June."
"00;00;20;19","00;00;21;03","If"
"00;00;25;01","00;00;25;06","it's"
"00;00;25;09","00;00;25;22","June 8th."
"00;00;25;22","00;00;25;29","20,"
"00;00;25;29","00;00;26;28","21."
"00;00;26;28","00;00;27;05","We're"
"00;00;27;05","00;00;27;14","here"
"00;00;27;14","00;00;27;24","in"
"00;00;27;24","00;00;28;08","Acton."
"00;00;28;08","00;00;28;22","Love"
"00;00;28;22","00;00;29;04","Live"
"00;00;29;04","00;00;29;15","Stream"
"00;00;29;15","00;00;31;04","23.1."
"00;00;31;04","00;00;31;20","And we"
"00;00;31;20","00;00;32;01","are"
"00;00;32;01","00;00;32;21","discussing"
"00;00;32;21","00;00;32;25","the"
"00;00;32;25","00;00;33;16","paper"
"00;00;33;16","00;00;33;29","embodied"
"00;00;33;29","00;00;34;14","skillful"
"00;00;34;14","00;00;35;18","performance"
"00;00;35;18","00;00;35;26","where"
"00;00;35;26","00;00;36;08","the action"
"00;00;36;08","00;00;36;23","is."
"00;00;37;13","00;00;37;19","So"
"00;00;37;19","00;00;38;01","welcome,"
"00;00;38;01","00;00;38;15","everyone"
"00;00;38;15","00;00;38;26","to"
"00;00;38;26","00;00;39;07","Active"
"00;00;39;07","00;00;39;25","Love."
"00;00;40;05","00;00;41;25","We are a participatory"
"00;00;41;25","00;00;42;08","online"
"00;00;42;08","00;00;42;22","lab"
"00;00;42;22","00;00;43;08","that is"
"00;00;43;08","00;00;44;08","communicating,"
"00;00;44;08","00;00;44;21","learning"
"00;00;44;21","00;00;45;00","and"
"00;00;45;00","00;00;45;20","practicing"
"00;00;45;20","00;00;46;05","applied"
"00;00;46;05","00;00;46;15","active"
"00;00;46;15","00;00;47;10","inference."
"00;00;47;13","00;00;47;16","You"
"00;00;47;16","00;00;47;20","can"
"00;00;47;20","00;00;48;05","find us"
"00;00;48;05","00;00;48;11","at"
"00;00;48;11","00;00;48;28","the links"
"00;00;48;28","00;00;49;12","that are"
"00;00;49;12","00;00;49;24","here"
"00;00;49;24","00;00;50;03","on this"
"00;00;50;03","00;00;50;26","slide."
"00;00;51;10","00;00;52;10","This is a recorded"
"00;00;52;10","00;00;52;27","and an"
"00;00;52;27","00;00;53;17","archived"
"00;00;53;17","00;00;53;25","live"
"00;00;53;25","00;00;54;11","stream"
"00;00;54;25","00;00;55;02","with"
"00;00;55;02","00;00;55;10","all of"
"00;00;55;10","00;00;55;17","the"
"00;00;55;17","00;00;56;05","advantages"
"00;00;56;05","00;00;56;16","and"
"00;00;56;26","00;00;57;11","constraints"
"00;00;57;11","00;00;57;14","that"
"00;00;57;14","00;00;57;19","that"
"00;00;57;19","00;00;58;16","provides."
"00;00;58;16","00;00;58;28","Please"
"00;00;58;28","00;00;59;08","provide"
"00;00;59;08","00;00;59;13","us"
"00;00;59;13","00;01;00;03","with feedback"
"00;01;00;03","00;01;00;08","so"
"00;01;00;08","00;01;00;11","that"
"00;01;00;11","00;01;00;23","we can"
"00;01;00;23","00;01;01;09","improve"
"00;01;01;09","00;01;01;14","on"
"00;01;01;14","00;01;02;13","our work"
"00;01;02;25","00;01;03;23","All backgrounds"
"00;01;03;23","00;01;04;04","and"
"00;01;04;04","00;01;04;23","perspectives"
"00;01;04;23","00;01;05;02","are"
"00;01;05;02","00;01;05;12","welcome"
"00;01;05;12","00;01;06;00","here"
"00;01;06;02","00;01;06;13","and"
"00;01;06;13","00;01;06;18","we'll"
"00;01;06;18","00;01;07;03","be"
"00;01;07;03","00;01;07;12","trying"
"00;01;07;12","00;01;07;16","to"
"00;01;07;16","00;01;08;03","follow"
"00;01;08;03","00;01;08;13","good"
"00;01;08;13","00;01;08;25","etiquette"
"00;01;08;25","00;01;09;04","for"
"00;01;09;04","00;01;09;09","live"
"00;01;09;09","00;01;09;19","streams"
"00;01;10;25","00;01;11;05","from"
"00;01;11;05","00;01;11;29","this"
"00;01;12;09","00;01;12;19","short"
"00;01;12;19","00;01;12;28","link,"
"00;01;12;28","00;01;13;02","you"
"00;01;13;02","00;01;13;07","can"
"00;01;13;07","00;01;14;02","access"
"00;01;14;02","00;01;14;13","the"
"00;01;14;13","00;01;15;02","calendar"
"00;01;15;02","00;01;15;13","of"
"00;01;15;13","00;01;15;28","events"
"00;01;15;28","00;01;16;16","for"
"00;01;16;16","00;01;16;23","live"
"00;01;16;23","00;01;17;11","streams"
"00;01;17;11","00;01;17;23","of"
"00;01;17;23","00;01;18;10","multiple"
"00;01;18;10","00;01;18;19","different"
"00;01;18;19","00;01;19;16","kinds"
"00;01;19;18","00;01;20;06","and"
"00;01;20;06","00;01;20;19","highlighted"
"00;01;20;19","00;01;20;25","there"
"00;01;20;25","00;01;20;28","with"
"00;01;20;28","00;01;21;06","the blue"
"00;01;21;06","00;01;21;22","arrows"
"00;01;21;22","00;01;22;08","are"
"00;01;22;08","00;01;22;20","today's"
"00;01;22;20","00;01;23;07","discussion"
"00;01;23;07","00;01;23;14","on"
"00;01;23;14","00;01;24;03","June 8th"
"00;01;24;03","00;01;24;12","and"
"00;01;24;12","00;01;24;20","next"
"00;01;24;20","00;01;24;28","week's"
"00;01;24;28","00;01;25;14","discussion."
"00;01;25;14","00;01;25;22","That'll"
"00;01;25;22","00;01;26;00","be on"
"00;01;26;00","00;01;27;00","the 15th"
"00;01;27;00","00;01;27;05","and"
"00;01;27;05","00;01;27;08","they're"
"00;01;27;08","00;01;27;14","both"
"00;01;27;14","00;01;27;18","going"
"00;01;27;18","00;01;28;00","to be"
"00;01;28;00","00;01;28;09","on"
"00;01;28;09","00;01;28;15","this"
"00;01;28;15","00;01;29;05","paper"
"00;01;29;05","00;01;29;20","embodied"
"00;01;29;20","00;01;30;08","skillful"
"00;01;30;08","00;01;31;14","performance"
