text	entity_type		start	end
ActInf Lab	organization		14952	15746
February 28, 2023	date		19512	22740
active inference institute	organization		26328	27838
active coherence.org	url		52612	54474
Alessandro Barp	person_name		77068	78370
Lancelot Costa	person_name		78450	80114
Guilherme Franca	person_name		80242	81874
Karl Friston	person_name		82002	83202
Mark Girolami	person_name		83346	85074
Michael Jordan	person_name		85202	86482
Grigorios A Pavliotis	person_name		86626	89518
Ali	person_name		146240	146790
Candon	person_name		147216	148018
authors	occupation		174716	175346
Daniel	person_name		189254	189830
researcher	occupation		190368	190854
California	location		191152	192054
authors	occupation		247088	247462
information theory	occupation		281740	282722
information geometry	occupation		293696	294822
information theory	occupation		294886	295926
modelers	occupation		331868	332354
Barp	person_name		407892	408410
Costa	person_name		408708	409322
statistics	occupation		425308	425794
applied mathematics	occupation		426028	427426
mathematics	occupation		441392	442006
physics	occupation		442208	442870
mathematics	occupation		447744	448358
physics	occupation		448544	449162
machine learning	occupation		479420	480118
authors	occupation		491184	491494
statistics	occupation		502388	503162
cognitive science	occupation		503306	504362
engineering	occupation		504692	505562
Hinton	person_name		766412	766768
authors	occupation		788718	789400
information geometry	occupation		848866	850088
Stein	person_name		852072	852568
decision theory	occupation		859964	860716
decision theory	occupation		869142	870240
Stanford	organization		871414	871788
Philosophy	occupation		873018	873904
Decision theory	occupation		875152	875808
Decision theory	occupation		889740	890612
agents	occupation		891646	892184
decision theory	occupation		949352	950248
information theory	occupation		956098	957340
information geometry	occupation		963142	964640
Rao 23	person_name		973962	975252
Rao	person_name		997054	997540
Rao	person_name		999598	999864
Fisher	person_name		1006978	1007400
Harold Jeffries	person_name		1107682	1108952
Jefferies	person_name		1109570	1109976
analysis	occupation		1209768	1210184
analysis	occupation		1216748	1217196
Functional analysis	occupation		1225960	1227552
math	occupation		1254162	1254824
physics	occupation		1302498	1302824
lattice quantum chromodynamics	occupation		1306082	1308380
cryptography	occupation		1392510	1393700
cryptography	occupation		1436222	1437320
statistics	occupation		1444100	1444644
Monte Carlo	location		1490478	1491396
Monte Carlo	location		1491822	1492804
Monte Carlo	location		1496478	1497364
science	occupation		1591358	1591684
differentiate geometry	occupation		1668678	1670188
Differential geometry	occupation		1670364	1671436
Symplectic geometry	occupation		1679240	1680544
differential geometry	occupation		1681418	1682512
differential topology	occupation		1682906	1684172
Symplectic geometry	occupation		1692860	1694116
classical mechanics	occupation		1696894	1698072
molecular dynamics	occupation		1812716	1813772
accelerator physics	occupation		1817324	1818364
plasma physics	occupation		1818412	1819260
quantum physics, celestial mechanics	occupation		1819340	1821840
Hamilton	person_name		1824618	1825216
John Denker	person_name		1859186	1860152
information theory	occupation		1923002	1923904
author	occupation		1933818	1934108
Hamilton	person_name		1953698	1954216
authors	occupation		2009138	2009484
Kim	person_name		2044526	2045160
Stein	person_name		2099522	2099976
probability theory	occupation		2102658	2103544
Stein	person_name		2111990	2112508
Stein	person_name		2114918	2115196
Stein	person_name		2116102	2116620
Authors	occupation		2161926	2162720
Michael Jordan	person_name		2178042	2178816
authors	occupation		2179306	2180096
statistics	occupation		2274522	2275216
machine learning	occupation		2275642	2276260
author	occupation		2280298	2280576
authors	occupation		2370342	2370812
Dalton Sakthivadivel Devil	person_name		2391886	2393476
Bayesian mechanics	occupation		2393838	2395060
authors	occupation		2416182	2416620
wy	person_name		2420420	2420784
authors	occupation		2434958	2435284
differential geometry	occupation		2437020	2438600
applied mathematics	occupation		2440414	2441316
statistics	occupation		2441348	2441844
computer science	occupation		2442078	2442996
mathematical statistics	occupation		2468902	2470124
Ncat lab	organization		2474970	2476070
statistics	occupation		2484334	2485044
statistics	occupation		2492702	2493560
measure theory	occupation		2497986	2498760
category theoretic	occupation		2521692	2522736
authors	occupation		2592574	2593240
machine learning	occupation		2610328	2610844
statistics	occupation		2611058	2611928
math	occupation		2623274	2623536
symplectic geometry	occupation		2696222	2697796
math	occupation		2724858	2725328
algebra	occupation		2798408	2798904
author	occupation		2856098	2856408
dynamical systems	occupation		2882538	2883964
differential geometry	occupation		2884334	2885700
numerical integrators	occupation		2896818	2897848
geometric integrators	occupation		2901400	2903048
Franca	person_name		2925834	2926384
Jordan	person_name		2926432	2926768
Vidal	person_name		2926938	2927584
Franca, Mark	person_name		2930714	2931920
Girolami	person_name		2932000	2932736
Jordan	person_name		2932938	2933760
authors	occupation		2937200	2937948
physics	occupation		2995838	2996512
Bayesian mechanics	occupation		3094638	3095812
Hamilton	person_name		3112332	3112956
Dean	person_name		3122198	3122808
authors	occupation		3127322	3127744
computational complexity analysis	occupation		3271286	3273344
Franca	person_name		3421318	3421768
authors	occupation		3465974	3466640
ten Franca	person_name		3521436	3522396
Lee	person_name		3551218	3551640
molecular dynamics	occupation		3576778	3578416
computational biology	occupation		3582874	3584260
Stratinovich	person_name		3896350	3897616
calculus	occupation		3918948	3919444
Newton	person_name		4170030	4170516
instrumentalist	occupation		4186918	4187772
John Mayer	person_name		4195014	4195516
lattice quantum chromodynamics	occupation		4250314	4252352
auer	person_name		4261710	4262212
molecular dynamics	occupation		4269678	4270724
statistics	occupation		4271022	4271880
ornstein olbeck	person_name		4368078	4369204
Hilbert	person_name		4451468	4451856
Hilbert	person_name		4454592	4455008
Stein	person_name		4622366	4622708
Stein	person_name		4627106	4627464
authors	occupation		4631938	4632632
Stein	person_name		4633314	4633768
statistics	occupation		4634424	4634904
Stein	person_name		4651220	4651756
Stein	person_name		4656886	4657196
theoretical statistics	occupation		4661168	4662224
stein	person_name		4662272	4662608
computational statistics	occupation		4664718	4666280
functional analysis	occupation		4699676	4700796
data science	occupation		4700828	4701356
computational statistics	occupation		4701574	4702944
Stein	person_name		4704048	4704496
esian statistics physics	occupation		4712858	4714412
Stein	person_name		4714576	4714996
Langvin	person_name		4763632	4764108
anastasio	person_name		4767934	4768772
Poincare	person_name		4796118	4796860
Durham	person_name		4808800	4809328
calculus	occupation		4819678	4820580
stein	person_name		4835832	4836136
Stein	person_name		4843548	4844044
operator	occupation		4877506	4878300
operator	occupation		4882386	4883180
colonel	occupation		4887198	4887656
