text	entity_type		start	end
active institute	organization		21122	22440
active coherence.org	url		43322	44644
Barp	person_name		67010	67384
Acosta	person_name		67618	68568
Lance	person_name		74550	74956
researcher	occupation		84314	84832
Daniel	person_name		101566	102004
Lance de Costa	person_name		108658	109976
PhD student	occupation		112082	113244
Imperial College of London	organization		114098	115224
UCL	organization		115458	116300
probabilistic machine learning	occupation		121638	123170
statistics, machine learning	occupation		139002	140464
statistics	occupation		155202	155704
machine learning	occupation		156002	156668
statistics	occupation		161698	162232
statistics	occupation		212930	213900
geometry	occupation		308418	309340
geometry	occupation		315042	315576
geometry	occupation		330938	331504
Bazrul	person_name		577142	578080
statistics	occupation		594718	595380
statistics	occupation		627622	628312
statistics	occupation		748398	749320
physics	occupation		1043886	1044324
machine learning	occupation		1044558	1045320
machine learning	occupation		1048702	1049656
flu	medical_condition		1095726	1096440
flu	medical_condition		1099342	1099732
tuberculosis	medical_condition		1101198	1102180
Jeffrey	person_name		1373926	1374396
statistical mechanics	occupation		1456722	1458140
statistical mechanics	occupation		1496622	1497684
statistics	occupation		1498318	1499240
Hinton	person_name		1807522	1807820
Ballard	person_name		1881754	1882112
phylogenetics	occupation		2180474	2181780
Fuentes	person_name		2540218	2540880
New Ritz	location		2567682	2568620
machine learning	occupation		2570098	2570652
psychology	occupation		2615858	2616408
psychology	occupation		2626598	2627052
drunkard	medical_condition		2629178	2629760
engineering	occupation		2634938	2636100
basic decision theory	occupation		2723788	2725052
RL	occupation		2725116	2725532
statistics	occupation		2745918	2746452
Lindley	person_name		2748462	2748916
Lindley	person_name		2751614	2752116
Fuentes	person_name		2837706	2838224
machine learning	occupation		2845980	2846840
reinforcement learning	occupation		2847268	2848152
Fuentes	person_name		3173270	3173756
Vaughn	person_name		3185494	3185928
coherence lab	organization		3316658	3317692
learning	occupation		3326652	3327296
reinforcement learning	occupation		3933082	3934148
active inference	organization		3978028	3978556
learning	occupation		4089872	4090084
learning	occupation		4092772	4093032
cybernetics	occupation		4226646	4227692
Axel	person_name		4230938	4231124
Axel Costa	person_name		4241754	4242548
Par	person_name		5239162	5239556
Amsterdam	location		5415682	5416344
Amsterdam	location		5419778	5420264
wounds	injury		5521554	5522164
geometry	occupation		5605488	5606350
statistics	occupation		5613988	5614474
Geometry	occupation		5615028	5615418
Statistics	occupation		5615524	5615946
geometry	occupation		5619928	5620574
geometry	occupation		5630136	5630782
geometry	occupation		5633708	5634226
symplectic geometry	occupation		5644720	5645814
geometry	occupation		5660948	5661434
Dean	person_name		5684712	5685294
applied mathematics	occupation		5928584	5929726
numerical mathematics	occupation		5929864	5931538
geometry	occupation		6031500	6032450
physics	occupation		6185484	6185874
Newtonian mechanics	occupation		6191212	6192274
Hamiltonian mechanics	occupation		6193756	6195250
Newton	person_name		6199710	6200214
Hamiltonian mechanics	occupation		6202912	6204054
physics	occupation		6208032	6208730
physics	occupation		6215508	6215882
physics	occupation		6283164	6283602
Downplantromodynamics	occupation		6671076	6672282
Google	organization		6687234	6687558
statistics	occupation		6735580	6736146
machine learning	occupation		6736348	6737240
Lance	person_name		7025788	7026066
Daniel	person_name		7029116	7029910
