docLabel	start	end	count	rank	text
gs054-1	18680	20638	1	0.06	electromagnetic field topology
gs054-1	1427584	1429142	2	0.06	electromagnetic field topology
gs054-1	248408	250210	1	0.06	electromagnetic fields
gs054-1	771568	772646	2	0.06	electromagnetic fields
gs054-1	1799812	1800858	3	0.06	electromagnetic fields
gs054-1	2060742	2062364	4	0.06	electromagnetic fields
gs054-1	4653930	4655394	5	0.06	electromagnetic fields
gs054-1	3764006	3766044	1	0.06	topological quantum field theories
gs054-1	2260284	2261244	1	0.06	Other field theories
gs054-1	4096162	4096984	1	0.06	neural field theory
gs054-1	3813750	3815052	1	0.06	quantum field theory
gs054-1	1894434	1895304	1	0.05	field lines
gs054-1	3400488	3401262	2	0.05	field lines
gs054-1	3417568	3418086	3	0.05	field lines
gs054-1	4119468	4120332	4	0.05	field lines
gs054-1	4167526	4168400	5	0.05	field lines
gs054-1	790948	791418	1	0.05	Em fields
gs054-1	968128	968758	2	0.05	Em fields
gs054-1	2162700	2163184	1	0.05	Other things
gs054-1	3136148	3136504	2	0.05	Other things
gs054-1	1822748	1824998	1	0.05	non epiphenomenal fields
gs054-1	4167126	4168400	1	0.05	open field lines
gs054-1	1603560	1604894	1	0.05	local field potentials
gs054-1	1650206	1651438	2	0.05	local field potentials
gs054-1	2806294	2807148	3	0.05	local field potentials
gs054-1	2261638	2261984	1	0.05	other ways
gs054-1	163242	164096	1	0.05	electromagnetic theories
gs054-1	206362	207392	2	0.05	electromagnetic theories
gs054-1	21768	22610	1	0.05	boundary problem
gs054-1	251848	252722	2	0.05	boundary problem
gs054-1	287684	288302	3	0.05	boundary problem
gs054-1	501016	502066	4	0.05	boundary problem
gs054-1	582964	583822	5	0.05	boundary problem
gs054-1	915324	915894	6	0.05	boundary problem
gs054-1	981428	982142	7	0.05	boundary problem
gs054-1	1027536	1028560	8	0.05	boundary problem
gs054-1	1128934	1129550	9	0.05	boundary problem
gs054-1	1141012	1142000	10	0.05	boundary problem
gs054-1	1149262	1149938	11	0.05	boundary problem
gs054-1	1205618	1206454	12	0.05	boundary problem
gs054-1	1268608	1269338	13	0.05	boundary problem
gs054-1	1270384	1271002	14	0.05	boundary problem
gs054-1	1279588	1280190	15	0.05	boundary problem
gs054-1	2265174	2265664	16	0.05	boundary problem
gs054-1	3004514	3005168	17	0.05	boundary problem
gs054-1	3360428	3361398	18	0.05	boundary problem
