key	relevance
Education>EducationalAssessment	1.0
Education>OnlineEducation	0.6285357475280762
Education>EducationalAssessment>StandardizedTesting	0.31236475706100464
Education>HomeworkAndStudy	0.2953520119190216
Hobbies&Interests>ContentProduction>FreelanceWriting	0.20780548453330994
Technology&Computing>ArtificialIntelligence	0.19357062876224518
Hobbies&Interests>ContentProduction	0.16385580599308014
Education>AdultEducation	0.1417129784822464
Education>LanguageLearning	0.10406579822301865
Technology&Computing>Robotics	0.098683200776577
Education	0.09280877560377121
Science>Physics	0.09157345443964005
Technology&Computing>Computing>ComputerSoftwareAndApplications>Databases	0.08852410316467285
Technology&Computing>Computing>DataStorageAndWarehousing	0.08709169924259186
BusinessAndFinance>Business>ExecutiveLeadership&Management	0.08669383823871613
BusinessAndFinance>Business>BusinessOperations	0.08358927816152573
Science>Chemistry	0.07051481306552887
BusinessAndFinance>Industries>EducationIndustry	0.06339187920093536
Careers>CareerPlanning	0.06279250234365463
BusinessAndFinance>Business>HumanResources	0.05617598444223404
