start	end	speaker	confidence	paragNum	paragWordCount	wordPos	text
8730	8846	A	0.95969	1	1	1	All
8868	9390	A	0.99063	1	2	2	right.
9540	9854	A	0.99993	1	3	3	Hello
9892	10046	A	0.89	1	4	4	and
10068	10398	A	0.99998	1	5	5	welcome
10484	11070	A	0.99998	1	6	6	everyone.
11220	11534	A	0.52175	1	7	7	It
11572	11822	A	0.99939	1	8	8	is
11876	12362	A	0.9634	1	9	9	Saturday,
12426	12922	A	0.46	1	10	10	August
12986	13694	A	0.83	1	11	11	26,
13812	14286	A	1.0	1	12	12	2023
14308	15774	A	0.81	1	13	13	and
15812	16026	A	0.99992	1	14	14	we're
16058	16302	A	0.99992	1	15	15	here
16356	16814	A	0.54077	1	16	16	in
16932	17354	A	0.99998	1	17	17	Physics
17402	17614	A	0.99869	1	18	18	as
17652	18046	A	0.99656	1	19	19	information
18148	18762	A	0.84918	1	20	20	processing
18826	19054	A	0.99991	1	21	21	in
19092	19246	A	1.0	1	22	22	the
19268	19642	A	1.0	1	23	23	fourth
19706	20570	A	0.99994	1	24	24	discussion.
20730	21006	A	0.99998	1	25	25	Thank
21028	21166	A	0.99998	1	26	26	you
21188	21470	A	0.99982	1	27	27	everybody.
21540	21834	A	0.72261	1	28	28	Who's
21882	22266	A	0.99993	1	29	29	joining
22298	22590	A	1.0	1	30	30	live
22660	23086	A	0.99986	1	31	31	or
23188	23550	A	0.78536	1	32	32	watching?
23620	23854	A	1.0	2	1	33	Live
23892	24094	A	0.8129	2	2	34	or
24132	24382	A	0.99995	2	3	35	watching
24436	24606	A	0.9701	2	4	36	in
24628	25266	A	0.95201	2	5	37	replay.
25418	25686	A	0.98317	2	6	38	This
25708	25846	A	0.99991	2	7	39	should
25868	26006	A	1.0	2	8	40	be
26028	26118	A	1.0	2	9	41	a
26124	26486	A	0.99996	2	10	42	really
26588	26902	A	0.99997	2	11	43	fun
26956	27442	A	0.98978	2	12	44	discussion
27506	27782	A	0.90798	2	13	45	as
27836	28530	A	0.99989	2	14	46	usual.
28690	28966	A	0.99138	2	15	47	So
28988	29138	A	0.99853	2	16	48	we're
29154	29238	A	0.96382	2	17	49	going
29244	29318	A	1.0	2	18	50	to
29324	29590	A	0.99982	2	19	51	have
29660	30306	A	0.35557	2	20	52	Ander
30418	30790	A	0.99996	2	21	53	provide
30860	31094	A	0.99999	2	22	54	some
31132	31890	A	0.99984	2	23	55	slides
32050	32422	A	1.0	2	24	56	and
32476	32694	A	0.99998	2	25	57	some
32732	33202	A	0.99993	2	26	58	initial
33266	33906	A	0.99992	2	27	59	clarifying
33938	34326	A	0.82745	2	28	60	questions
34428	34646	A	0.99998	2	29	61	for
34668	35234	A	0.97381	2	30	62	Chris
35362	35654	A	1.0	2	31	63	and
35692	35846	A	0.99994	2	32	64	then
35868	36018	A	0.99914	2	33	65	we're
36034	36166	A	0.98512	2	34	66	going
36188	36470	A	1.0	2	35	67	to
36540	36822	A	0.99999	2	36	68	open
36876	36998	A	0.99988	2	37	69	it
37004	37222	A	0.70054	2	38	70	up
37276	37734	A	0.99998	2	39	71	for
37852	38134	A	0.99988	2	40	72	our
38172	38654	A	0.78064	2	41	73	guests
38722	39002	A	1.0	2	42	74	to
39056	39274	A	0.99992	2	43	75	ask
39312	39466	A	0.97306	2	44	76	some
39488	39914	A	0.99996	2	45	77	questions
40032	40458	A	1.0	2	46	78	and
40544	40746	A	0.99891	2	47	79	check
40768	40906	A	0.69816	2	48	80	in
40928	41018	A	0.59	2	49	81	a
41024	41194	A	1.0	2	50	82	live
41232	41574	A	0.99991	2	51	83	chat,
41622	41786	A	0.99996	2	52	84	see
41808	41994	A	0.99998	2	53	85	what
42032	42282	A	0.99999	2	54	86	people
42336	42602	A	0.99998	2	55	87	are
42656	42922	A	0.54434	2	56	88	talking
42976	43290	A	0.99159	2	57	89	about.
43360	43978	A	0.90979	2	58	90	So
44144	44614	A	0.74432	2	59	91	Ander,
44662	44826	A	1.0	2	60	92	to
44848	45034	A	0.99994	2	61	93	you
45072	45226	A	0.99917	2	62	94	for
45248	45530	A	0.70905	2	63	95	some
45600	46022	A	0.53524	2	64	96	slides
46086	46266	A	1.0	2	65	97	and
46288	47050	A	0.99889	2	66	98	overview.
48030	48394	B	0.59455	2	67	99	Okay.
48432	48586	B	0.99993	3	1	100	Thank
48608	48746	B	0.98945	3	2	101	you,
48768	49222	B	0.99598	3	3	102	Daniel.
49286	49946	B	0.94865	3	4	103	So
50128	50522	B	0.99987	3	5	104	last
50576	50794	B	0.99995	3	6	105	time
50832	51034	B	0.99772	3	7	106	we
51072	51706	B	0.9995	3	8	107	were
51888	52474	B	0.99992	3	9	108	starting
52592	52874	B	1.0	3	10	109	to
52912	53162	B	0.99997	3	11	110	talk
53216	53626	B	0.99998	3	12	111	about
53728	54098	B	0.93068	3	13	112	multi
54134	54430	B	0.99912	3	14	113	agent
54500	55162	B	0.99986	3	15	114	communication
55226	55646	B	0.85	3	16	115	and
55748	56154	B	0.89633	3	17	116	lock
56202	56746	B	0.99984	3	18	117	protocols
56778	56926	B	1.0	3	19	118	and
56948	57086	B	1.0	3	20	119	all
57108	57198	B	1.0	3	21	120	of
57204	57614	B	0.99997	3	22	121	that.
57732	57966	B	0.99989	3	23	122	So
57988	58314	B	0.99832	3	24	123	let's
58362	59054	B	0.99999	3	25	124	quickly
59252	59614	B	0.99999	3	26	125	go
59652	59806	B	0.99999	3	27	126	through
59828	59966	B	1.0	3	28	127	the
59988	60586	B	0.99996	3	29	128	slides
60698	61360	B	1.0	3	30	129	and
61970	62238	B	0.91267	3	31	130	sort
62244	62366	B	0.93	3	32	131	of
62388	62574	B	0.99998	3	33	132	try
62612	62766	B	1.0	3	34	133	to
62788	63066	B	0.99961	3	35	134	recall
63098	63294	B	0.99	3	36	135	the
63332	63534	B	0.99987	3	37	136	main
63572	64430	B	0.99817	3	38	137	concepts.
66630	66946	B	0.99	4	1	138	I
66968	67540	B	0.99998	4	2	139	guess
68070	68386	B	0.99565	4	3	140	just
68408	68546	B	1.0	4	4	141	to
68568	68754	B	0.99999	4	5	142	go
68792	69234	B	0.99998	4	6	143	back
69352	69682	B	0.61	4	7	144	to
69736	70046	B	0.99944	4	8	145	session
70078	70274	B	1.0	4	9	146	three
70312	70466	B	1.0	4	10	147	for
70488	70626	B	1.0	4	11	148	a
70648	71170	B	1.0	4	12	149	second.
71320	71634	B	0.7	4	13	150	One
71672	72174	B	0.99903	4	14	151	takeaway
72222	72434	B	1.0	4	15	152	was
72472	73010	B	1.0	4	16	153	that
73160	73426	B	0.99998	4	17	154	when
73448	73634	B	0.71029	4	18	155	you
73672	74066	B	1.0	4	19	156	have
74168	74398	B	0.99869	4	20	157	non
74414	74874	B	0.30325	4	21	158	committing
74942	75234	B	0.49609	4	22	159	sectors
75282	75446	B	0.99998	4	23	160	in
75468	75558	B	1.0	4	24	161	a
75564	76162	B	0.99952	4	25	162	boundary,
76306	76706	B	0.99744	4	26	163	that's
76738	77282	B	0.99364	4	27	164	necessarily
77346	77526	B	1.0	4	28	165	going
77548	77686	B	1.0	4	29	166	to
