text	entity_type		start	end
Saturday, August 26, 2023	date		11876	14286
Physics	occupation		16932	17354
Ander	person_name		29660	30306
Chris	person_name		34668	35234
Ander	person_name		44144	44614
Daniel	person_name		48768	49222
Chris	person_name		180508	180994
Alice	person_name		198096	198486
Bob	person_name		198688	199110
Chris	person_name		222776	223490
Chris	person_name		232028	232790
Alice	person_name		314520	315460
Alice	person_name		322700	323284
Alice	person_name		374878	375284
Bob	person_name		375582	376308
Alice	person_name		377054	377760
Bob	person_name		382002	382376
Alice	person_name		401460	402252
Bob	person_name		407706	408176
Alice	person_name		421022	421444
Bob	person_name		421678	422388
Alice	person_name		469870	470244
Bob	person_name		470478	471160
Alice	person_name		487772	488354
Alice Two	person_name		488908	489942
Alice	person_name		491372	492070
Alice	person_name		534466	534994
Bob	person_name		537052	537394
Rich	person_name		555238	555794
Alice	person_name		567114	567546
Bob	person_name		567828	568610
Alice	person_name		592410	593122
Bob	person_name		594786	595298
agents	occupation		621480	621986
Chris	person_name		697910	698334
Alice	person_name		902072	902494
Bob	person_name		902664	902894
Chris	person_name		923696	923974
Alice	person_name		942244	942794
Gertle	person_name		956488	956878
Jim Glazberg	person_name		958872	959770
Alice	person_name		1059116	1059394
Bob	person_name		1061932	1062626
Alice	person_name		1078768	1079174
theorists	occupation		1121712	1122358
Alice	person_name		1124990	1125670
Alice	person_name		1134270	1135314
Alice	person_name		1183472	1183826
Chris	person_name		1200632	1201406
Alice	person_name		1241570	1242202
Chris	person_name		1317804	1318466
Bob	person_name		1378590	1379254
special relativity	occupation		1468124	1469074
quantum theory	occupation		1563436	1564550
Alice	person_name		1678830	1679430
Bob	person_name		1686352	1686694
1130	time		1699752	1700450
Alice	person_name		1755026	1755384
Bob	person_name		1755554	1755864
Alice	person_name		1762386	1762696
Bob	person_name		1762898	1763580
Alice	person_name		1775460	1776044
Alice	person_name		1790502	1790996
Bob	person_name		1812322	1812728
Alice	person_name		1860530	1860936
Bob	person_name		1861202	1861560
Bell	person_name		1880176	1880528
Alice One	person_name		1924260	1924976
Alice Two	person_name		1925158	1925760
Harris	person_name		2019462	2020428
Dean	person_name		2020982	2021292
Harris	person_name		2028440	2029040
Chris	person_name		2047326	2047876
Michael Levin	person_name		2051278	2052036
Chris	person_name		2081770	2082064
Chris	person_name		2106002	2106264
Ander	person_name		2107410	2107864
quantum cryptography	occupation		2266102	2267868
Professor	occupation		2438718	2439284
Lotfield Zadek	person_name		2439332	2440568
Bartlett	person_name		2486304	2487450
co authors	occupation		2490884	2491950
Physics	occupation		2499742	2500478
English	language		2661932	2662418
Andrew	person_name		2679870	2680502
Dean	person_name		2682160	2682902
Chris	person_name		2741902	2742318
Colombo	person_name		2791336	2791854
Chris	person_name		2816966	2817846
Shannon Dobson	person_name		2997958	2998764
math art	occupation		2999958	3000812
math	occupation		3045460	3045996
Dean	person_name		3120782	3121556
Ander	person_name		3122782	3123076
Dean	person_name		3130088	3130392
Chris	person_name		3135106	3135512
physics	occupation		3201062	3201484
Chris	person_name		3231200	3231446
quantum Darwinism	occupation		3238484	3239690
Chris	person_name		3291396	3291722
Chris	person_name		3328506	3329104
operator	occupation		3539710	3540640
Mi	person_name		3540820	3541740
Suskin	person_name		3610790	3611308
Chris	person_name		3717722	3718420
Chris	person_name		3732398	3733156
Chris	person_name		3734030	3734660
Andrew	person_name		3745500	3746048
Chris	person_name		3778782	3779044
Saskin	location		3803778	3804216
Chris	person_name		3804726	3805036
Wheaton, Suskin, Harlow	organization		3815958	3818572
Chris	person_name		3831758	3832084
physics	occupation		3841118	3841492
developmental psychology	occupation		3863986	3865320
physics	occupation		3912038	3912364
biology	occupation		3935998	3936388
Harris	person_name		3939502	3940260
Andrew	person_name		3977082	3977780
Harris	person_name		3994552	3995128
