start	end	speaker	wconfidence	text
5520	6070	A	0.52	You.
7800	8212	B	0.98612	Hello,
8266	8870	B	0.99842	everyone.
9320	9776	B	0.99014	It's
9808	10096	B	0.99	June
10128	10624	B	0.57	15,
10672	12148	B	0.92	2023.
12314	12596	B	0.99934	We
12618	12852	B	0.88894	are
12906	13220	B	0.9993	here
13290	13764	B	0.70995	in
13882	14384	B	0.99817	lecture
14432	14932	B	0.93	two
15066	15460	B	0.77	of
15530	15856	B	0.81081	Chris
15888	16656	B	0.51114	field's
16768	17140	B	0.99969	course,
17210	17664	B	0.99951	physics
17712	17972	B	0.99979	as
18026	18484	B	0.99993	Information
18602	19280	B	0.96547	Processing.
19360	19700	B	0.99123	So.
19770	19956	B	0.99977	Thank
19978	20260	B	0.56	you,
20330	21040	B	0.9975	Chris.
21200	21572	B	0.99998	Looking
21626	21940	B	0.99995	forward
22010	22340	B	1.0	to
22410	22644	B	0.54	the
22682	23460	B	0.64279	lecture.
25240	25604	A	0.62583	Thank
25642	25844	A	1.0	you,
25882	26660	A	0.838	Daniel.
27160	27524	A	0.99	And,
27562	27812	A	0.94274	yes,
27866	28132	A	0.9999	welcome
28186	28356	A	1.0	to
28378	28564	A	0.99379	this
28602	29380	A	0.91546	session.
29840	30492	A	0.88265	How?
30626	30924	A	0.99991	This
30962	31336	A	0.91836	section
31368	31660	A	0.56191	is
31730	32200	A	0.987	titled
32280	32668	A	0.62473	why
32754	33400	A	0.99208	Quantum
33480	34300	A	0.99998	Physics.
35440	36044	A	1.0	And
36162	36492	A	0.53332	if
36546	36764	A	0.99	you
36802	37052	A	0.60709	will
37106	37512	A	0.99411	recall,
37576	37804	A	1.0	from
37842	37996	A	1.0	the
38018	38252	A	1.0	first
38306	39100	A	0.99626	session,
39760	40172	A	0.99991	we
40226	40920	A	0.99727	reviewed
41000	41244	A	1.0	the
41282	41628	A	0.75803	history
41714	41964	A	1.0	of
42002	42452	A	0.99689	physics
42536	42928	A	0.99	and
43014	43216	A	0.99993	some
43238	43328	A	1.0	of
43334	43456	A	1.0	the
43478	43664	A	0.99998	history
43702	43856	A	0.61	of
43878	44476	A	0.50449	mathematics
44508	44752	A	0.99	and
44806	45120	A	0.99999	computer
45190	46000	A	0.99992	science
49300	49616	A	0.99424	from
49638	49776	A	1.0	the
49798	49936	A	0.99358	end
49958	50096	A	1.0	of
50118	50208	A	1.0	the
50214	50736	A	0.49	19th
50758	51260	A	0.97991	century
51340	51632	A	0.99963	through
51686	52144	A	0.51	to
