docLabel	start	end	count	rank	text
cFPIP-06W	3288370	3290592	1	0.05	information delivery things
cFPIP-06W	2355290	2356500	1	0.05	thought experiment
cFPIP-06W	2394518	2395292	2	0.05	thought experiment
cFPIP-06W	2479152	2480250	3	0.05	thought experiment
cFPIP-06W	914516	915422	1	0.05	same thing
cFPIP-06W	1242574	1243074	2	0.05	same thing
cFPIP-06W	2089158	2089504	3	0.05	same thing
cFPIP-06W	2558316	2559170	4	0.05	same thing
cFPIP-06W	256628	257782	1	0.05	Markov Blanket
cFPIP-06W	295728	296474	2	0.05	Markov Blanket
cFPIP-06W	314328	315198	3	0.05	Markov Blanket
cFPIP-06W	366294	367036	4	0.05	Markov Blanket
cFPIP-06W	467682	468664	5	0.05	Markov Blanket
cFPIP-06W	477894	479036	6	0.05	Markov Blanket
cFPIP-06W	518358	519600	7	0.05	Markov Blanket
cFPIP-06W	527612	528616	8	0.05	Markov Blanket
cFPIP-06W	565878	566716	9	0.05	Markov Blanket
cFPIP-06W	610710	611484	10	0.05	Markov Blanket
cFPIP-06W	619238	620480	11	0.05	Markov Blanket
cFPIP-06W	737762	738626	12	0.05	Markov Blanket
cFPIP-06W	753488	754166	13	0.05	Markov Blanket
cFPIP-06W	762756	763546	14	0.05	Markov Blanket
cFPIP-06W	797504	798422	15	0.05	Markov Blanket
cFPIP-06W	918868	920190	16	0.05	Markov Blanket
cFPIP-06W	926072	927182	17	0.05	Markov Blanket
cFPIP-06W	967348	968106	18	0.05	Markov Blanket
cFPIP-06W	1036330	1037830	19	0.05	Markov Blanket
cFPIP-06W	1060692	1061722	20	0.05	Markov Blanket
cFPIP-06W	1126516	1127594	21	0.05	Markov Blanket
cFPIP-06W	1656498	1657938	22	0.05	Markov Blanket
cFPIP-06W	1670464	1671574	23	0.05	Markov Blanket
cFPIP-06W	1701928	1703486	24	0.05	Markov Blanket
cFPIP-06W	1745768	1747630	25	0.05	Markov Blanket
cFPIP-06W	2828758	2829696	26	0.05	Markov Blanket
cFPIP-06W	3030898	3032140	27	0.05	Markov Blanket
cFPIP-06W	1371296	1372300	1	0.04	living things
cFPIP-06W	3471576	3472412	1	0.04	various things
cFPIP-06W	1611072	1612086	1	0.04	Spacetime degrees
cFPIP-06W	3223378	3224908	1	0.04	genetic quantum systems
cFPIP-06W	102210	102632	1	0.04	question
cFPIP-06W	246868	247054	2	0.04	question
cFPIP-06W	558420	558832	3	0.04	question
cFPIP-06W	566748	567330	4	0.04	question
cFPIP-06W	616806	617120	5	0.04	question
cFPIP-06W	617878	618112	6	0.04	question
cFPIP-06W	629194	629412	7	0.04	question
cFPIP-06W	631738	631924	8	0.04	question
cFPIP-06W	634060	634424	9	0.04	question
cFPIP-06W	640398	640584	10	0.04	question
cFPIP-06W	645842	646140	11	0.04	question
cFPIP-06W	784972	785222	12	0.04	question
cFPIP-06W	978408	978594	13	0.04	question
cFPIP-06W	1046592	1046842	14	0.04	question
cFPIP-06W	1079572	1080160	15	0.04	question
cFPIP-06W	1219792	1219994	16	0.04	question
cFPIP-06W	1311344	1311562	17	0.04	question
cFPIP-06W	1487864	1488242	18	0.04	question
cFPIP-06W	1491752	1492340	19	0.04	question
cFPIP-06W	1599980	1600600	20	0.04	question
cFPIP-06W	1619872	1620122	21	0.04	question
cFPIP-06W	1655186	1655606	22	0.04	question
cFPIP-06W	1660330	1660838	23	0.04	question
cFPIP-06W	2276962	2277260	24	0.04	question
cFPIP-06W	2282722	2283212	25	0.04	question
cFPIP-06W	2589758	2590088	26	0.04	question
cFPIP-06W	2661366	2661970	27	0.04	question
cFPIP-06W	2678332	2678582	28	0.04	question
cFPIP-06W	2945832	2946334	29	0.04	question
cFPIP-06W	2966032	2966620	30	0.04	question
cFPIP-06W	3397142	3397450	31	0.04	question
cFPIP-06W	3477398	3477680	32	0.04	question
cFPIP-06W	1343368	1344340	1	0.04	non life
cFPIP-06W	1356508	1357110	2	0.04	non life
cFPIP-06W	1064164	1065950	1	0.04	arbitrary state spaces
cFPIP-06W	531930	533200	1	0.04	non locality
cFPIP-06W	1190596	1191694	2	0.04	non locality
cFPIP-06W	1760172	1761270	3	0.04	non locality
cFPIP-06W	1761690	1762594	4	0.04	non locality
cFPIP-06W	1778258	1779144	5	0.04	non locality
cFPIP-06W	1866646	1867852	6	0.04	non locality
cFPIP-06W	1930780	1931636	7	0.04	non locality
cFPIP-06W	12326	13852	1	0.04	information processing
cFPIP-06W	280876	282006	2	0.04	information processing
cFPIP-06W	1751192	1752478	3	0.04	information processing
cFPIP-06W	1764332	1765522	4	0.04	information processing
cFPIP-06W	1780002	1781500	5	0.04	information processing
cFPIP-06W	1814374	1816240	6	0.04	information processing
cFPIP-06W	3298700	3300300	7	0.04	information processing
cFPIP-06W	2694478	2695770	1	0.04	metabolic system
cFPIP-06W	3221512	3222504	1	0.04	Living systems
