docLabel	start	end	count	rank	text
cFPIP-04W	2168662	2169860	1	0.06	classical memories
cFPIP-04W	2174506	2175472	2	0.06	classical memories
cFPIP-04W	79210	80402	1	0.06	classical communication
cFPIP-04W	309018	311860	2	0.06	classical communication
cFPIP-04W	446508	447564	3	0.06	classical communication
cFPIP-04W	1000168	1001730	4	0.06	classical communication
cFPIP-04W	1015130	1016930	5	0.06	classical communication
cFPIP-04W	1049960	1051570	6	0.06	classical communication
cFPIP-04W	1190244	1191194	7	0.06	classical communication
cFPIP-04W	1501886	1503490	8	0.06	classical communication
cFPIP-04W	1512348	1513522	9	0.06	classical communication
cFPIP-04W	1542436	1543802	10	0.06	classical communication
cFPIP-04W	1619468	1620514	11	0.06	classical communication
cFPIP-04W	1648152	1649650	12	0.06	classical communication
cFPIP-04W	1730752	1731942	13	0.06	classical communication
cFPIP-04W	1825462	1826780	14	0.06	classical communication
cFPIP-04W	2497188	2498462	1	0.05	quantum reference frames
cFPIP-04W	1830474	1832260	1	0.05	classical noise
cFPIP-04W	2212580	2213660	1	0.05	quantum memories
cFPIP-04W	2219930	2220832	2	0.05	quantum memories
cFPIP-04W	2238894	2240148	3	0.05	quantum memories
cFPIP-04W	2644610	2646670	1	0.05	classical uncertainty
cFPIP-04W	3997448	3997850	1	0.05	next time
cFPIP-04W	3842430	3843652	1	0.05	emergent space time
cFPIP-04W	438962	439784	1	0.05	time asymmetry
cFPIP-04W	442022	442924	2	0.05	time asymmetry
cFPIP-04W	448918	450300	3	0.05	time asymmetry
cFPIP-04W	461162	462656	4	0.05	time asymmetry
cFPIP-04W	623992	625134	1	0.05	reference frame
cFPIP-04W	658164	659470	2	0.05	reference frame
cFPIP-04W	1929626	1930880	3	0.05	reference frame
cFPIP-04W	1953858	1954536	4	0.05	reference frame
cFPIP-04W	1961058	1962380	5	0.05	reference frame
cFPIP-04W	1969718	1970572	6	0.05	reference frame
cFPIP-04W	1988730	1989584	7	0.05	reference frame
cFPIP-04W	2006082	2006824	8	0.05	reference frame
cFPIP-04W	2527648	2528502	9	0.05	reference frame
cFPIP-04W	2531152	2532330	10	0.05	reference frame
cFPIP-04W	2556104	2557410	11	0.05	reference frame
cFPIP-04W	2941992	2943330	12	0.05	reference frame
cFPIP-04W	3671136	3672500	13	0.05	reference frame
cFPIP-04W	488908	489942	1	0.05	Alice Two
cFPIP-04W	1925158	1925760	2	0.05	Alice Two
cFPIP-04W	2715728	2716342	1	0.05	different memories
cFPIP-04W	2827258	2828330	2	0.05	different memories
cFPIP-04W	487772	488662	1	0.05	Alice One
cFPIP-04W	1924260	1924976	2	0.05	Alice One
cFPIP-04W	1615548	1616322	1	0.05	different sectors
cFPIP-04W	2208660	2209810	1	0.05	quantum information
cFPIP-04W	2234540	2235624	2	0.05	quantum information
cFPIP-04W	2454796	2455664	3	0.05	quantum information
cFPIP-04W	3034818	3035628	4	0.05	quantum information
