text	entity_type		start	end
May 26, 2022	date		2842	4990
textbook group	organization		9162	10238
math learning group	organization		33084	34358
19 UTC	time		36492	37678
math learning group	organization		40224	40954
math	occupation		71430	71886
math	occupation		75464	75998
Math learning group	organization		81964	82774
math	occupation		91040	91606
math	occupation		93536	93894
Mike	person_name		389084	389462
telecom	occupation		743528	744046
Jacob	person_name		938312	938814
Ali	person_name		1235020	1235960
Alan Bartheau	person_name		1241316	1242474
Bartho	person_name		1242836	1243546
Bartheau	person_name		1275056	1275926
brock	person_name		1356552	1357230
Mike	person_name		1357390	1357866
Blue	person_name		1393420	1394230
Blue	person_name		1469476	1470270
science	occupation		1507952	1508342
science	occupation		1509424	1510250
maria	person_name		1592332	1592882
Helmholtz	person_name		1596780	1597426
Kant	person_name		1597628	1598338
Plato's cave	location		1598898	1600238
Ali	person_name		1682408	1683250
Bartheau	person_name		1687868	1689026
Merlopanti	person_name		1697484	1698738
phenomenology	occupation		1698834	1699746
Merlopanti	person_name		1699778	1700750
phenomenology	occupation		1754624	1755734
Morris	person_name		1784776	1785278
cognitive science	occupation		1794298	1795200
dynamical systems theory	occupation		1797480	1798736
fracture I	injury		1947114	1948390
Mike	person_name		2069420	2070308
Blue	person_name		2070942	2071428
Ali	person_name		2071902	2072600
blue	person_name		2094680	2095152
Ali	person_name		2095578	2096096
Ali	person_name		2098794	2099540
Ali	person_name		2336740	2337680
statistics	occupation		2380168	2381118
Bayesian statistics	occupation		2462628	2464058
classical statistics	occupation		2473448	2474782
PM	occupation		2475576	2476094
statistics	occupation		2481006	2481890
etric	occupation		2482718	2483482
statistics	occupation		2484066	2484930
Bayesian statistics	occupation		2485516	2486950
Mike	person_name		2686874	2687630
math	occupation		2780544	2780726
Mike	person_name		2915402	2915696
Ali	person_name		2916058	2916820
Ali	person_name		3007860	3008800
Jessica	person_name		3109816	3110850
Lab Tools meeting	event		3299898	3301274
