text	entity_type		start	end
July 7, 2023	date		10610	13276
Social Sciences	occupation		19778	20780
Avil	person_name		34128	34820
Avil	person_name		46942	47460
Abel	person_name		58162	58940
Kerriu	person_name		126340	127370
Kairos Research	organization		129156	130034
Active Inference Lab	organization		133576	134482
teaching team	organization		142796	143974
Danielle	person_name		145020	145730
Ecology and Evolution	occupation		148540	149826
president	occupation		156348	156630
co founder	occupation		156908	157446
Enactive Transitutes	organization		157744	159078
philosophy	occupation		161568	162086
Ben	person_name		164608	164934
Philosophy	occupation		169908	170378
University of Sussex	organization		170564	171530
cognitive science	occupation		191852	192674
technology	occupation		193036	193640
mao Albarasa	person_name		197292	198562
PhD candidate	occupation		198706	199634
Cognitive Computing	occupation		200092	201074
University Morielo	organization		201436	203830
head of Product Innovation and Research	occupation		205072	206570
AI	occupation		211584	212230
mathematics of AI	occupation		212832	214390
Lauren Gonzala	person_name		231688	233010
philosophy	occupation		236696	237518
Wollongong	location		238536	239486
Australia	location		241468	242146
philosophy	occupation		243676	244178
cognitive science	occupation		249212	250390
physics	occupation		258528	259014
math	occupation		259062	259366
engineering	occupation		259712	260166
cognitive science	occupation		260704	261494
ecology and evolution	occupation		262368	263574
complex system physics	occupation		264992	266182
French Society of Cliodynamics	organization		277028	278518
phenomenology	occupation		294940	295714
phenomenology	occupation		301778	302418
Kairos	organization		332580	332998
social science	occupation		365456	366630
psycho history	occupation		438792	439538
mechanical explanation	occupation		450364	451842
life science	occupation		453292	454214
mechanical explanation	occupation		456688	457894
Cliodynamics	occupation		474628	475710
evolutionary game theory	occupation		501850	503702
phenomenology	occupation		545308	545858
rhetorics	occupation		593500	594210
epistemology	occupation		594748	595570
math	occupation		689688	689966
Science	occupation		746828	747510
math	occupation		838728	839054
Cliodynamics	occupation		926762	927706
Cliodynamics	occupation		950668	951346
feminism	political_affiliation		1033330	1034006
agent	occupation		1238072	1238562
cops	occupation		1283384	1283726
system biology	occupation		1375684	1376410
biology	occupation		1423668	1423962
sociology	occupation		1424164	1424522
math	occupation		1456048	1456374
social science	occupation		1464032	1465050
Oxygen France	organization		1480552	1481214
the US	location		1600570	1601702
Right wing	political_affiliation		1601836	1602642
donald Trump	person_name		1609062	1609642
Ron DeSantis	person_name		1609952	1611158
millions	money_amount		1627268	1627898
millions	money_amount		1629272	1629790
Democratic	political_affiliation		1633310	1634530
the US	location		1638150	1638770
Republicans	political_affiliation		1652460	1653590
Democrats	political_affiliation		1658880	1659446
astrology	occupation		1715952	1716518
nationalism	political_affiliation		1731896	1732850
Republicans	political_affiliation		1737608	1738366
conservative	political_affiliation		1748236	1749110
DeSantis	person_name		1762848	1763382
Trump	person_name		1763446	1763866
Napoleon	person_name		1763968	1764582
Slav	nationality		1793272	1793802
Hungarian	nationality		1797084	1797794
France	location		1820148	1820778
united Kingdom	location		1820874	1822110
Prussia	location		1823010	1824026
farmer	occupation		1907110	1907814
France	location		1909968	1910550
teacher	occupation		1923364	1923706
French	nationality		1926532	1926826
French	language		1927556	1927962
African Renaissance	nationality		1975892	1976794
Abdullah Wade	person_name		1977652	1978910
president	occupation		1980520	1980802
Senegal	location		1981048	1981854
African	nationality		1994012	1994870
African	nationality		2005952	2006326
Africans	nationality		2022756	2023610
Senegal	location		2024916	2025594
Africa	location		2027188	2027594
Ardotrion	location		2040968	2041646
France	location		2041848	2042094
African	nationality		2046988	2047362
African	nationality		2075956	2076346
African	nationality		2133832	2134206
France	location		2187128	2187422
Nationalistic	political_affiliation		2303150	2303894
king	occupation		2324628	2324826
archaeology	occupation		2446668	2447074
archaeology	occupation		2473732	2474346
Basilica of Frequency	location		2537912	2539490
Icelandic	language		2542988	2543890
architecture	occupation		2587832	2588462
France	location		2610208	2610406
scots	nationality		2624356	2624986
anthropology	occupation		2625098	2625946
Scott	person_name		2629848	2630686
ism	occupation		2679784	2680430
agriculture	occupation		2738408	2738926
English	language		2763824	2764390
social science	occupation		2912608	2913462
social science	occupation		2915152	2916170
math	occupation		2950114	2950386
semiotics	occupation		3012416	3012966
semantics	occupation		3013104	3013526
semiotics	occupation		3035928	3036638
students	occupation		3096330	3097126
Usher	person_name		3120852	3126270
Avel	person_name		3214672	3215094
Sfumato	person_name		3274292	3275034
France	location		3440008	3440382
Daniel	person_name		3455536	3455974
math	occupation		3519332	3520106
Robin	person_name		3627090	3627626
Robin	person_name		3629112	3629582
digital governance	occupation		3630248	3631166
Robin	person_name		3733990	3734526
Robin	person_name		3735528	3735982
digital governance	occupation		3736568	3737390
Sfumato	person_name		3744650	3745378
fundamental physics	occupation		3747778	3748802
Cliodynamics	occupation		3750140	3751122
pragmatist philosophy	occupation		3753020	3754534
ander	person_name		3760350	3761350
Anthony	person_name		3762830	3763414
