text	entity_type		start	end
September 20, 2023	date		9978	12590
Active Inference Institute	organization		13268	14538
social Sciences	occupation		16788	17790
Mao Aberrassen	person_name		19348	20666
linguistics	occupation		23908	24522
Mao	person_name		26692	27034
semiotics	occupation		37180	37906
semantics	occupation		38108	38594
linguistics	occupation		40876	41554
Ineshi Bolito	person_name		234188	235218
Thomas van S	person_name		235708	236582
Hermeneutics	occupation		240028	241110
Hermeneutics	occupation		258850	260138
Hermeneutics	occupation		270632	271630
Yatimer	person_name		290250	291106
activist	occupation		357588	357994
Hermeneutics	occupation		358228	358906
psychology	occupation		403088	403590
researchers	occupation		418472	419410
Maxwell Ramstead	person_name		420296	421838
folk psychology	occupation		432748	433778
Maxwell Ramstead	person_name		530232	531106
Bruenberg	person_name		535308	536034
researchers	occupation		554512	555014
Riddipitlia	person_name		555568	556882
Kalan Kopp	person_name		578088	579022
philosophy	occupation		640508	641170
psychology	occupation		641250	641890
computational neuroscience	occupation		642188	643830
social cognition	occupation		715592	716798
deep reinforcement learning	occupation		768216	769422
psychology	occupation		1261372	1261890
sociology	occupation		1261970	1262754
artificial intelligence	occupation		1262882	1264306
cognitive science	occupation		1267548	1268710
Axel Constance	person_name		1339638	1340812
Frank	person_name		1410188	1410610
Sanfi	person_name		1475858	1476296
Francesco Donoruma	person_name		1750958	1752452
Berg Merza	person_name		1772454	1773676
social psychology	occupation		2031816	2032990
gender studies	occupation		2035064	2035666
social anxiety	medical_condition		2160068	2161034
social anxiety	medical_condition		2177496	2178494
Beijing	location		2727462	2727846
Mao	person_name		2828268	2828914
Air Canada	organization		3017048	3018370
homeless	occupation		3070248	3071010
homeless	occupation		3091936	3092790
homeless	occupation		3098404	3098986
Michael	person_name		3133204	3133674
ten to eleven	time		3490904	3491870
eleven	time		3493592	3494094
Montreal	location		3512508	3513430
Upcycle Club	organization		3554554	3555456
Michael	person_name		3603160	3603696
phenomenology	occupation		3845526	3846800
Abel	person_name		4057696	4058278
Avel	person_name		4060544	4061094
Mao	person_name		4080046	4080286
clergy	occupation		4144508	4145074
extractivism	political_affiliation		4172218	4173210
clergy	occupation		4183688	4184126
Latin	language		4189688	4190142
Latin	language		4202236	4202546
Latin	language		4203072	4203606
Lance	person_name		4304200	4304898
panpsychism	political_affiliation		4315164	4316066
Donald Hoffman	person_name		4381524	4382394
sciences	occupation		4396512	4396950
humanities	occupation		4397872	4398890
medicine	occupation		4569524	4570430
social sciences	occupation		4586252	4587218
social sciences	occupation		4600880	4601670
social sciences	occupation		4823268	4824154
science	occupation		4835044	4835746
