start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
5850	6400	1	A	0.67517	1	1	You.
8450	8910	2	B	0.75905	1	2	Hello
8980	9214	2	B	0.88	2	3	and
9252	9598	2	B	1.0	3	4	welcome.
9684	9946	3	B	0.98593	1	5	It's
9978	10362	3	B	1.0	2	6	September
10426	10842	3	B	0.92	3	7	20,
10906	12590	3	B	0.9	4	8	2023.
12740	13018	4	B	0.99815	1	9	We're
13034	13118	4	B	1.0	2	10	at
13124	13246	4	B	1.0	3	11	the
13268	13498	4	B	0.99883	4	12	Active
13514	13914	4	B	0.99914	5	13	Inference
13962	14538	4	B	0.96536	6	14	Institute
14634	14990	4	B	0.99999	7	15	in
15060	15246	4	B	1.0	8	16	the
15268	15598	4	B	0.68828	9	17	course,
15684	16106	4	B	0.99792	10	18	active
16138	16426	4	B	0.99286	11	19	Inference
16458	16606	4	B	1.0	12	20	for
16628	16766	4	B	1.0	13	21	the
16788	17022	4	B	1.0	14	22	social
17076	17790	4	B	0.99998	15	23	Sciences,
18130	18734	4	B	1.0	16	24	and
18852	19134	4	B	0.99994	17	25	here
19172	19326	4	B	1.0	18	26	with
19348	19626	4	B	0.81126	19	27	Mao
19658	20666	4	B	0.04108	20	28	Aberrassen,
20778	21006	4	B	0.99999	21	29	who
21028	21214	4	B	0.61627	22	30	will
21252	21790	4	B	0.99998	23	31	be
21940	22426	4	B	0.99765	24	32	presenting
22458	22702	4	B	0.99996	25	33	today
22756	22926	4	B	0.99999	26	34	on
22948	23230	4	B	0.97678	27	35	norm
23300	23738	4	B	0.87095	28	36	scripts
23754	23886	4	B	1.0	29	37	and
23908	24522	4	B	0.42798	30	38	linguistics
24586	24862	4	B	0.99999	31	39	under
24916	25306	4	B	0.99749	32	40	active
25338	25706	4	B	0.97071	33	41	inference.
25738	26126	5	B	0.99948	1	42	So
26228	26446	5	B	0.99999	2	43	thank
26468	26654	5	B	0.99984	3	44	you,
26692	27034	5	B	0.81209	4	45	Mao,
27082	27246	5	B	1.0	5	46	to
27268	27840	5	B	0.99994	6	47	you.
29090	29598	6	A	0.99975	1	48	Awesome.
29684	29934	7	A	0.99941	1	49	So,
29972	30126	7	A	0.99763	2	50	hi,
30148	30406	7	A	0.81877	3	51	everyone.
30468	31080	8	A	0.51962	1	52	In
31610	32360	8	A	0.9999	2	53	as
32890	33302	8	A	0.99991	3	54	last
33356	34006	8	A	0.99994	4	55	time,
34188	34582	8	A	0.9999	5	56	there
34636	34998	8	A	0.96107	6	57	was
35084	35334	8	A	1.0	7	58	a
35372	36210	8	A	0.97747	8	59	presentation
36370	37030	8	A	0.99988	9	60	on
37180	37906	8	A	0.9959	10	61	semiotics
37938	38086	8	A	1.0	11	62	and
38108	38594	8	A	0.99535	12	63	semantics.
38642	38806	9	A	1.0	1	64	I
38828	39074	9	A	0.99993	2	65	won't
39122	39430	9	A	0.99986	3	66	dig
39500	39734	9	A	0.99985	4	67	too
39772	40118	9	A	1.0	5	68	far
40204	40742	9	A	0.99998	6	69	into
40876	41554	9	A	0.9979	7	70	linguistics,
41602	41766	9	A	0.99999	8	71	but
41788	41986	9	A	0.99988	9	72	I'll
42018	42166	9	A	1.0	10	73	touch
42188	42326	9	A	0.99999	11	74	on
42348	42534	9	A	0.99989	12	75	it
42572	42678	9	A	1.0	13	76	at
42684	42806	9	A	1.0	14	77	the
42828	42918	9	A	0.99999	15	78	end
42924	43046	9	A	0.84	16	79	of
43068	43218	9	A	1.0	17	80	the
43244	43820	9	A	0.99977	18	81	course.
44750	45500	10	A	0.99522	1	82	So
46190	46506	10	A	0.99997	2	83	what
46528	46666	10	A	0.53544	3	84	are
46688	46826	10	A	0.99996	4	85	we
46848	46938	10	A	0.99832	5	86	going
46944	47066	10	A	1.0	6	87	to
47088	47658	10	A	0.99994	7	88	do
47824	48106	10	A	0.99996	8	89	in
48128	48362	10	A	0.99991	9	90	this
48416	48950	10	A	0.99971	10	91	module?
49030	49366	11	A	0.99868	1	92	We're
49398	49546	11	A	0.99996	2	93	going
49568	49754	11	A	1.0	3	94	to
49792	50230	11	A	0.60017	4	95	explore
50310	50650	11	A	1.0	5	96	the
50720	51302	11	A	0.99986	6	97	concept
51366	51642	11	A	1.0	7	98	of
51696	52006	11	A	0.51771	8	99	active
52038	52454	11	A	0.96904	9	100	inference
52502	52618	11	A	1.0	10	101	and
52624	52794	11	A	0.90944	11	102	its
52832	53174	11	A	0.99822	12	103	relevance
53222	53386	11	A	1.0	13	104	to
