"Start Time","End Time","Transcript"
"00;00;02;06","00;00;02;19","What"
"00;00;02;23","00;00;03;00","I'm"
"00;00;03;00","00;00;05;20","saying."
"00;00;06;05","00;00;06;14","Hello"
"00;00;06;14","00;00;07;08","everyone."
"00;00;07;08","00;00;07;26","Welcome"
"00;00;07;26","00;00;08;18","to"
"00;00;08;18","00;00;08;28","Team"
"00;00;08;28","00;00;09;20","Calm"
"00;00;09;20","00;00;10;11","Podcast"
"00;00;10;11","00;00;11;04","one"
"00;00;11;06","00;00;11;25","tentatively"
"00;00;11;25","00;00;12;22","titled"
"00;00;13;10","00;00;13;18","Really"
"00;00;13;18","00;00;13;25","Looking"
"00;00;13;25","00;00;14;13","Forward"
"00;00;14;13","00;00;14;19","to"
"00;00;14;19","00;00;14;25","this"
"00;00;14;25","00;00;15;26","discussion."
"00;00;15;26","00;00;16;07","I'm"
"00;00;16;07","00;00;16;28","Daniel."
"00;00;16;28","00;00;17;16","And"
"00;00;17;16","00;00;17;26","along"
"00;00;17;26","00;00;18;08","with me"
"00;00;18;08","00;00;19;01","are"
"00;00;19;06","00;00;19;17","Yvonne"
"00;00;19;17","00;00;19;19","and"
"00;00;19;19","00;00;20;00","Alex."
"00;00;20;00","00;00;20;02","Do"
"00;00;20;02","00;00;20;07","you want"
"00;00;20;07","00;00;20;11","to"
"00;00;20;11","00;00;20;23","introduce"
"00;00;20;23","00;00;21;03","yourself"
"00;00;21;03","00;00;23;06","briefly?"
"00;00;26;00","00;00;26;11","Yeah,"
"00;00;26;11","00;00;26;28","my name is"
"00;00;26;28","00;00;27;11","Alex."
"00;00;27;11","00;00;28;22","I just can say"
"00;00;28;22","00;00;29;04","what?"
"00;00;29;04","00;00;29;17","I'm a"
"00;00;29;17","00;00;30;26","researcher"
"00;00;30;26","00;00;31;16","in"
"00;00;31;16","00;00;31;29","system"
"00;00;31;29","00;00;32;12","management"
"00;00;32;12","00;00;32;21","school"
"00;00;32;21","00;00;32;24","in"
