"Start Time","End Time","Transcript"
"00;00;29;26","00;00;30;09","Hello"
"00;00;30;09","00;00;30;21","and"
"00;00;30;21","00;00;31;05","welcome"
"00;00;31;05","00;00;31;20","everyone"
"00;00;31;20","00;00;32;03","to"
"00;00;32;03","00;00;32;15","Active"
"00;00;32;15","00;00;32;25","Flight"
"00;00;32;25","00;00;33;14","Livestream"
"00;00;33;14","00;00;33;24","number"
"00;00;33;24","00;00;35;08","32.3."
"00;00;35;08","00;00;35;15","It's"
"00;00;35;15","00;00;37;15","December 16th 2021"
"00;00;37;23","00;00;38;11","and"
"00;00;38;11","00;00;39;09","we are"
"00;00;39;09","00;00;39;16","really"
"00;00;39;16","00;00;39;27","excited"
"00;00;39;27","00;00;40;04","to be"
"00;00;40;04","00;00;40;12","here"
"00;00;40;12","00;00;41;02","with"
"00;00;41;02","00;00;41;25","Connor,"
"00;00;41;25","00;00;42;06","one of"
"00;00;42;06","00;00;42;11","the"
"00;00;42;11","00;00;43;15","authors"
"00;00;43;26","00;00;44;07","today."
"00;00;44;07","00;00;44;10","We'll"
"00;00;44;10","00;00;44;18","just"
"00;00;44;18","00;00;45;05","jump"
"00;00;45;05","00;00;45;15","right"
"00;00;45;15","00;00;45;26","into"
"00;00;45;26","00;00;46;05","it."
"00;00;46;19","00;00;47;05","Our"
"00;00;47;05","00;00;47;18","goal"
"00;00;47;18","00;00;47;27","is"
"00;00;47;27","00;00;49;00","to be"
"00;00;49;07","00;00;49;19","learning"
"00;00;49;19","00;00;49;27","and"
"00;00;49;27","00;00;50;27","discussing"
"00;00;50;27","00;00;51;08","this"
"00;00;51;08","00;00;51;19","awesome"
"00;00;51;19","00;00;52;01","paper"
"00;00;52;01","00;00;52;18","stochastic"
"00;00;52;18","00;00;53;04","chaos"
"00;00;53;04","00;00;53;09","and"
"00;00;53;09","00;00;53;22","mark"
"00;00;53;22","00;00;54;08","blankets"
"00;00;54;08","00;00;54;19","from"
"00;00;54;19","00;00;55;14","2021"
"00;00;55;14","00;00;55;28","with"
"00;00;55;28","00;00;56;08","Carl"
"00;00;56;08","00;00;56;16","Forrest"
"00;00;56;16","00;00;56;23","and"
"00;00;56;23","00;00;57;02","Connor"
"00;00;57;02","00;00;57;27","Hines"
"00;00;57;27","00;00;58;16","cohorts"
"00;00;58;16","00;00;59;06","offer"
"00;00;59;06","00;00;59;21","Lancelot"
"00;00;59;21","00;00;59;22","to"
"00;00;59;22","00;01;00;07","Costa"
"00;01;00;07","00;01;00;14","and"
"00;01;00;14","00;01;00;26","Thomas"
"00;01;00;26","00;01;01;17","part."
"00;01;01;29","00;01;02;15","And"
"00;01;02;15","00;01;02;29","we had"
"00;01;02;29","00;01;05;15","a .0.12"
"00;01;05;23","00;01;06;03","on"
"00;01;06;03","00;01;06;10","this"
"00;01;06;10","00;01;07;01","paper"
"00;01;07;01","00;01;07;06","and"
"00;01;07;06","00;01;07;17","today"
"00;01;07;17","00;01;07;22","we're"
"00;01;07;22","00;01;08;04","just"
"00;01;08;04","00;01;08;15","excited"
"00;01;08;15","00;01;08;17","to"
"00;01;08;17","00;01;08;27","have"
"00;01;08;27","00;01;09;08","a dot"
"00;01;09;08","00;01;09;29","three."
"00;01;09;29","00;01;10;06","So"
"00;01;10;06","00;01;10;23","we'll have"
"00;01;10;23","00;01;11;01","a"
"00;01;11;01","00;01;11;27","presentation"
